SiteName,MonitorDate,Concentration,ItemUnit
朴子,20191030,34,μgm3
新營,20191030,31,μgm3
美濃,20191030,32,μgm3
萬華,20191030,37,μgm3
南投,20191030,25,μgm3
忠明,20191030,24,μgm3
陽明,20191030,12,μgm3
臺南,20191030,35,μgm3
平鎮,20191030,36,μgm3
竹東,20191030,22,μgm3
馬公,20191030,40,μgm3
新竹,20191030,34,μgm3
馬祖,20191030,43,μgm3
花蓮,20191030,7,μgm3
恆春,20191030,5,μgm3
士林,20191030,31,μgm3
斗六,20191030,32,μgm3
彰化,20191030,29,μgm3
宜蘭,20191030,13,μgm3
桃園,20191030,36,μgm3
三義,20191030,21,μgm3
前金,20191030,39,μgm3
金門,20191030,41,μgm3
豐原,20191030,18,μgm3
前金,20191027,27,μgm3
斗六,20191027,30,μgm3
竹東,20191027,12,μgm3
金門,20191027,27,μgm3
士林,20191027,9,μgm3
新竹,20191027,12,μgm3
臺南,20191027,26,μgm3
臺東,20191027,13,μgm3
花蓮,20191027,12,μgm3
嘉義,20191027,29,μgm3
汐止,20191027,11,μgm3
苗栗,20191027,14,μgm3
美濃,20191027,23,μgm3
基隆,20191027,10,μgm3
恆春,20191027,11,μgm3
平鎮,20191027,12,μgm3
三義,20191027,16,μgm3
板橋,20191027,11,μgm3
屏東,20191027,26,μgm3
豐原,20191027,21,μgm3
新營,20191027,28,μgm3
萬華,20191027,11,μgm3
忠明,20191027,18,μgm3
朴子,20191027,23,μgm3
馬公,20191027,13,μgm3
宜蘭,20191027,10,μgm3
馬祖,20191027,12,μgm3
南投,20191027,24,μgm3
彰化,20191027,18,μgm3
桃園,20191027,11,μgm3
基隆,20191024,13,μgm3
馬公,20191024,17,μgm3
金門,20191024,27,μgm3
馬祖,20191024,18,μgm3
宜蘭,20191024,13,μgm3
花蓮,20191024,16,μgm3
臺東,20191024,13,μgm3
汐止,20191024,14,μgm3
恆春,20191024,12,μgm3
前金,20191024,27,μgm3
美濃,20191024,26,μgm3
板橋,20191024,14,μgm3
陽明,20191024,11,μgm3
臺南,20191024,29,μgm3
屏東,20191024,33,μgm3
嘉義,20191024,29,μgm3
士林,20191024,14,μgm3
朴子,20191024,26,μgm3
萬華,20191024,14,μgm3
彰化,20191024,19,μgm3
新營,20191024,27,μgm3
忠明,20191024,19,μgm3
豐原,20191024,17,μgm3
桃園,20191024,15,μgm3
三義,20191024,18,μgm3
苗栗,20191024,17,μgm3
南投,20191024,24,μgm3
新竹,20191024,16,μgm3
平鎮,20191024,15,μgm3
竹東,20191024,16,μgm3
三義,20191021,13,μgm3
平鎮,20191021,13,μgm3
彰化,20191021,15,μgm3
萬華,20191021,12,μgm3
士林,20191021,11,μgm3
美濃,20191021,20,μgm3
忠明,20191021,14,μgm3
新營,20191021,21,μgm3
臺東,20191021,11,μgm3
豐原,20191021,15,μgm3
嘉義,20191021,23,μgm3
苗栗,20191021,14,μgm3
宜蘭,20191021,12,μgm3
基隆,20191021,11,μgm3
朴子,20191021,19,μgm3
新竹,20191021,14,μgm3
花蓮,20191021,12,μgm3
竹東,20191021,13,μgm3
馬公,20191021,16,μgm3
桃園,20191021,14,μgm3
前金,20191021,22,μgm3
斗六,20191021,23,μgm3
屏東,20191021,23,μgm3
臺南,20191021,23,μgm3
馬祖,20191021,21,μgm3
南投,20191021,18,μgm3
汐止,20191021,13,μgm3
陽明,20191021,9,μgm3
板橋,20191021,13,μgm3
金門,20191021,24,μgm3
恆春,20191021,10,μgm3
金門,20191018,22,μgm3
花蓮,20191018,14,μgm3
新竹,20191018,17,μgm3
竹東,20191018,14,μgm3
馬公,20191018,17,μgm3
彰化,20191018,17,μgm3
萬華,20191018,15,μgm3
忠明,20191018,15,μgm3
三義,20191018,15,μgm3
恆春,20191018,11,μgm3
美濃,20191018,21,μgm3
板橋,20191018,17,μgm3
桃園,20191018,18,μgm3
陽明,20191018,12,μgm3
汐止,20191018,17,μgm3
南投,20191018,17,μgm3
馬祖,20191018,21,μgm3
臺南,20191018,21,μgm3
屏東,20191018,23,μgm3
前金,20191018,21,μgm3
斗六,20191018,21,μgm3
基隆,20191018,16,μgm3
宜蘭,20191018,14,μgm3
嘉義,20191018,21,μgm3
苗栗,20191018,16,μgm3
豐原,20191018,15,μgm3
臺東,20191018,12,μgm3
士林,20191018,15,μgm3
平鎮,20191018,17,μgm3
朴子,20191018,20,μgm3
新營,20191018,20,μgm3
前金,20191015,20,μgm3
苗栗,20191015,14,μgm3
士林,20191015,13,μgm3
屏東,20191015,20,μgm3
陽明,20191015,11,μgm3
平鎮,20191015,14,μgm3
桃園,20191015,14,μgm3
竹東,20191015,13,μgm3
南投,20191015,14,μgm3
斗六,20191015,17,μgm3
宜蘭,20191015,11,μgm3
萬華,20191015,14,μgm3
馬公,20191015,16,μgm3
新竹,20191015,15,μgm3
忠明,20191015,11,μgm3
基隆,20191015,14,μgm3
花蓮,20191015,11,μgm3
馬祖,20191015,15,μgm3
美濃,20191015,19,μgm3
三義,20191015,11,μgm3
臺東,20191015,13,μgm3
板橋,20191015,14,μgm3
金門,20191015,16,μgm3
臺南,20191015,21,μgm3
恆春,20191015,12,μgm3
豐原,20191015,10,μgm3
新營,20191015,18,μgm3
朴子,20191015,19,μgm3
汐止,20191015,14,μgm3
彰化,20191015,12,μgm3
嘉義,20191015,17,μgm3
豐原,20191012,32,μgm3
前金,20191012,18,μgm3
三義,20191012,29,μgm3
陽明,20191012,18,μgm3
美濃,20191012,24,μgm3
新營,20191012,29,μgm3
馬祖,20191012,25,μgm3
竹東,20191012,21,μgm3
苗栗,20191012,26,μgm3
士林,20191012,21,μgm3
臺南,20191012,23,μgm3
南投,20191012,36,μgm3
汐止,20191012,21,μgm3
屏東,20191012,28,μgm3
斗六,20191012,38,μgm3
馬公,20191012,21,μgm3
基隆,20191012,19,μgm3
新竹,20191012,22,μgm3
桃園,20191012,21,μgm3
宜蘭,20191012,20,μgm3
嘉義,20191012,32,μgm3
平鎮,20191012,22,μgm3
朴子,20191012,34,μgm3
花蓮,20191012,19,μgm3
忠明,20191012,36,μgm3
恆春,20191012,14,μgm3
臺東,20191012,17,μgm3
彰化,20191012,37,μgm3
板橋,20191012,20,μgm3
金門,20191012,30,μgm3
萬華,20191012,20,μgm3
朴子,20191009,30,μgm3
板橋,20191009,15,μgm3
南投,20191009,28,μgm3
臺東,20191009,13,μgm3
花蓮,20191009,12,μgm3
平鎮,20191009,15,μgm3
臺南,20191009,21,μgm3
馬祖,20191009,21,μgm3
萬華,20191009,14,μgm3
士林,20191009,14,μgm3
金門,20191009,26,μgm3
忠明,20191009,22,μgm3
苗栗,20191009,15,μgm3
豐原,20191009,24,μgm3
竹東,20191009,14,μgm3
恆春,20191009,13,μgm3
陽明,20191009,12,μgm3
基隆,20191009,14,μgm3
三義,20191009,19,μgm3
前金,20191009,20,μgm3
桃園,20191009,15,μgm3
馬公,20191009,17,μgm3
宜蘭,20191009,13,μgm3
新竹,20191009,16,μgm3
新營,20191009,25,μgm3
斗六,20191009,33,μgm3
屏東,20191009,20,μgm3
汐止,20191009,14,μgm3
彰化,20191009,24,μgm3
嘉義,20191009,27,μgm3
美濃,20191009,21,μgm3
南投,20191006,45,μgm3
美濃,20191006,32,μgm3
彰化,20191006,41,μgm3
忠明,20191006,40,μgm3
馬公,20191006,19,μgm3
萬華,20191006,15,μgm3
金門,20191006,23,μgm3
馬祖,20191006,24,μgm3
新營,20191006,30,μgm3
斗六,20191006,38,μgm3
基隆,20191006,15,μgm3
宜蘭,20191006,13,μgm3
朴子,20191006,28,μgm3
豐原,20191006,36,μgm3
平鎮,20191006,15,μgm3
新竹,20191006,15,μgm3
花蓮,20191006,15,μgm3
桃園,20191006,15,μgm3
士林,20191006,15,μgm3
臺東,20191006,13,μgm3
嘉義,20191006,32,μgm3
屏東,20191006,46,μgm3
汐止,20191006,15,μgm3
臺南,20191006,25,μgm3
陽明,20191006,13,μgm3
板橋,20191006,15,μgm3
竹東,20191006,14,μgm3
恆春,20191006,12,μgm3
三義,20191006,32,μgm3
苗栗,20191006,20,μgm3
前金,20191006,26,μgm3
基隆,20191003,33,μgm3
忠明,20191003,51,μgm3
嘉義,20191003,34,μgm3
斗六,20191003,39,μgm3
朴子,20191003,38,μgm3
板橋,20191003,35,μgm3
美濃,20191003,30,μgm3
桃園,20191003,41,μgm3
彰化,20191003,57,μgm3
花蓮,20191003,13,μgm3
苗栗,20191003,46,μgm3
屏東,20191003,31,μgm3
新竹,20191003,38,μgm3
馬祖,20191003,37,μgm3
汐止,20191003,33,μgm3
臺南,20191003,34,μgm3
萬華,20191003,33,μgm3
士林,20191003,32,μgm3
馬公,20191003,30,μgm3
新營,20191003,36,μgm3
三義,20191003,43,μgm3
竹東,20191003,26,μgm3
平鎮,20191003,44,μgm3
前金,20191003,33,μgm3
恆春,20191003,23,μgm3
金門,20191003,43,μgm3
豐原,20191003,43,μgm3
南投,20191003,37,μgm3
宜蘭,20191003,19,μgm3
臺東,20191003,15,μgm3
陽明,20191003,29,μgm3
馬祖,20190930,19,μgm3
平鎮,20190930,5,μgm3
萬華,20190930,4,μgm3
竹東,20190930,3,μgm3
馬公,20190930,12,μgm3
板橋,20190930,4,μgm3
忠明,20190930,7,μgm3
新營,20190930,27,μgm3
豐原,20190930,6,μgm3
恆春,20190930,12,μgm3
臺東,20190930,5,μgm3
嘉義,20190930,26,μgm3
朴子,20190930,15,μgm3
花蓮,20190930,4,μgm3
汐止,20190930,4,μgm3
新竹,20190930,5,μgm3
屏東,20190930,31,μgm3
斗六,20190930,24,μgm3
宜蘭,20190930,5,μgm3
美濃,20190930,23,μgm3
基隆,20190930,6,μgm3
南投,20190930,13,μgm3
三義,20190930,3,μgm3
臺南,20190930,24,μgm3
前金,20190930,23,μgm3
士林,20190930,3,μgm3
彰化,20190930,8,μgm3
金門,20190930,9,μgm3
桃園,20190930,4,μgm3
陽明,20190930,-2,μgm3
基隆,20190927,6,μgm3
三義,20190927,13,μgm3
花蓮,20190927,5,μgm3
南投,20190927,25,μgm3
士林,20190927,4,μgm3
竹東,20190927,6,μgm3
前金,20190927,24,μgm3
忠明,20190927,15,μgm3
金門,20190927,22,μgm3
豐原,20190927,16,μgm3
恆春,20190927,4,μgm3
苗栗,20190927,10,μgm3
臺南,20190927,20,μgm3
陽明,20190927,-2,μgm3
嘉義,20190927,27,μgm3
美濃,20190927,38,μgm3
馬公,20190927,13,μgm3
汐止,20190927,6,μgm3
宜蘭,20190927,3,μgm3
屏東,20190927,40,μgm3
新竹,20190927,9,μgm3
平鎮,20190927,7,μgm3
朴子,20190927,18,μgm3
新營,20190927,21,μgm3
馬祖,20190927,16,μgm3
斗六,20190927,29,μgm3
桃園,20190927,7,μgm3
彰化,20190927,16,μgm3
板橋,20190927,7,μgm3
臺東,20190927,6,μgm3
萬華,20190927,6,μgm3
忠明,20190924,14,μgm3
竹東,20190924,11,μgm3
嘉義,20190924,28,μgm3
宜蘭,20190924,10,μgm3
彰化,20190924,15,μgm3
士林,20190924,11,μgm3
花蓮,20190924,9,μgm3
豐原,20190924,14,μgm3
臺東,20190924,9,μgm3
朴子,20190924,20,μgm3
汐止,20190924,11,μgm3
屏東,20190924,30,μgm3
斗六,20190924,27,μgm3
南投,20190924,22,μgm3
基隆,20190924,10,μgm3
臺南,20190924,25,μgm3
馬祖,20190924,18,μgm3
金門,20190924,22,μgm3
新營,20190924,24,μgm3
陽明,20190924,8,μgm3
美濃,20190924,23,μgm3
萬華,20190924,11,μgm3
馬公,20190924,12,μgm3
板橋,20190924,12,μgm3
平鎮,20190924,14,μgm3
前金,20190924,29,μgm3
恆春,20190924,9,μgm3
苗栗,20190924,12,μgm3
三義,20190924,11,μgm3
桃園,20190924,11,μgm3
新竹,20190924,12,μgm3
前金,20190921,14,μgm3
竹東,20190921,9,μgm3
板橋,20190921,12,μgm3
美濃,20190921,15,μgm3
馬公,20190921,14,μgm3
萬華,20190921,15,μgm3
金門,20190921,18,μgm3
馬祖,20190921,13,μgm3
臺南,20190921,13,μgm3
基隆,20190921,12,μgm3
南投,20190921,12,μgm3
嘉義,20190921,14,μgm3
三義,20190921,12,μgm3
斗六,20190921,14,μgm3
屏東,20190921,16,μgm3
新營,20190921,14,μgm3
汐止,20190921,14,μgm3
臺東,20190921,14,μgm3
朴子,20190921,14,μgm3
彰化,20190921,13,μgm3
花蓮,20190921,11,μgm3
桃園,20190921,13,μgm3
平鎮,20190921,14,μgm3
豐原,20190921,11,μgm3
忠明,20190921,13,μgm3
士林,20190921,13,μgm3
恆春,20190921,17,μgm3
苗栗,20190921,13,μgm3
宜蘭,20190921,4,μgm3
陽明,20190918,8,μgm3
彰化,20190918,14,μgm3
忠明,20190918,13,μgm3
萬華,20190918,13,μgm3
斗六,20190918,17,μgm3
朴子,20190918,18,μgm3
豐原,20190918,11,μgm3
桃園,20190918,14,μgm3
嘉義,20190918,18,μgm3
士林,20190918,12,μgm3
屏東,20190918,18,μgm3
臺南,20190918,19,μgm3
板橋,20190918,13,μgm3
三義,20190918,12,μgm3
美濃,20190918,21,μgm3
前金,20190918,21,μgm3
竹東,20190918,13,μgm3
苗栗,20190918,14,μgm3
恆春,20190918,12,μgm3
南投,20190918,15,μgm3
汐止,20190918,12,μgm3
臺東,20190918,13,μgm3
花蓮,20190918,12,μgm3
平鎮,20190918,13,μgm3
宜蘭,20190918,10,μgm3
基隆,20190918,13,μgm3
馬祖,20190918,16,μgm3
金門,20190918,20,μgm3
馬公,20190918,16,μgm3
新營,20190918,17,μgm3
斗六,20190915,19,μgm3
萬華,20190915,12,μgm3
平鎮,20190915,13,μgm3
花蓮,20190915,12,μgm3
板橋,20190915,13,μgm3
陽明,20190915,6,μgm3
竹東,20190915,11,μgm3
桃園,20190915,13,μgm3
朴子,20190915,18,μgm3
臺南,20190915,16,μgm3
士林,20190915,12,μgm3
馬公,20190915,14,μgm3
美濃,20190915,14,μgm3
豐原,20190915,16,μgm3
南投,20190915,18,μgm3
宜蘭,20190915,9,μgm3
臺東,20190915,11,μgm3
新營,20190915,16,μgm3
金門,20190915,15,μgm3
新竹,20190915,12,μgm3
屏東,20190915,14,μgm3
三義,20190915,14,μgm3
苗栗,20190915,12,μgm3
嘉義,20190915,18,μgm3
馬祖,20190915,13,μgm3
汐止,20190915,10,μgm3
前金,20190915,16,μgm3
基隆,20190915,11,μgm3
彰化,20190915,17,μgm3
忠明,20190915,16,μgm3
恆春,20190915,9,μgm3
彰化,20190912,29,μgm3
花蓮,20190912,5,μgm3
恆春,20190912,4,μgm3
朴子,20190912,18,μgm3
基隆,20190912,5,μgm3
士林,20190912,5,μgm3
桃園,20190912,6,μgm3
板橋,20190912,5,μgm3
三義,20190912,24,μgm3
斗六,20190912,28,μgm3
陽明,20190912,3,μgm3
金門,20190912,10,μgm3
平鎮,20190912,5,μgm3
美濃,20190912,23,μgm3
嘉義,20190912,24,μgm3
新營,20190912,20,μgm3
臺南,20190912,17,μgm3
汐止,20190912,5,μgm3
苗栗,20190912,16,μgm3
忠明,20190912,30,μgm3
竹東,20190912,7,μgm3
豐原,20190912,29,μgm3
萬華,20190912,6,μgm3
馬公,20190912,8,μgm3
臺東,20190912,6,μgm3
南投,20190912,33,μgm3
新竹,20190912,6,μgm3
前金,20190912,19,μgm3
屏東,20190912,24,μgm3
馬祖,20190912,9,μgm3
宜蘭,20190912,5,μgm3
士林,20190909,14,μgm3
宜蘭,20190909,10,μgm3
竹東,20190909,18,μgm3
屏東,20190909,14,μgm3
新竹,20190909,19,μgm3
嘉義,20190909,16,μgm3
汐止,20190909,14,μgm3
馬公,20190909,10,μgm3
桃園,20190909,16,μgm3
萬華,20190909,14,μgm3
前金,20190909,9,μgm3
彰化,20190909,21,μgm3
三義,20190909,18,μgm3
金門,20190909,21,μgm3
花蓮,20190909,7,μgm3
苗栗,20190909,18,μgm3
臺東,20190909,7,μgm3
馬祖,20190909,12,μgm3
新營,20190909,13,μgm3
恆春,20190909,6,μgm3
斗六,20190909,19,μgm3
忠明,20190909,20,μgm3
朴子,20190909,14,μgm3
美濃,20190909,10,μgm3
板橋,20190909,16,μgm3
陽明,20190909,14,μgm3
臺南,20190909,9,μgm3
豐原,20190909,20,μgm3
南投,20190909,20,μgm3
嘉義,20190906,8,μgm3
花蓮,20190906,5,μgm3
士林,20190906,7,μgm3
臺東,20190906,5,μgm3
忠明,20190906,11,μgm3
屏東,20190906,7,μgm3
馬公,20190906,7,μgm3
萬華,20190906,8,μgm3
三義,20190906,8,μgm3
金門,20190906,14,μgm3
苗栗,20190906,9,μgm3
前金,20190906,8,μgm3
馬祖,20190906,10,μgm3
美濃,20190906,7,μgm3
恆春,20190906,4,μgm3
斗六,20190906,9,μgm3
朴子,20190906,9,μgm3
板橋,20190906,8,μgm3
臺南,20190906,8,μgm3
新營,20190906,7,μgm3
南投,20190906,10,μgm3
竹東,20190906,8,μgm3
平鎮,20190906,10,μgm3
新竹,20190906,9,μgm3
汐止,20190906,7,μgm3
彰化,20190906,11,μgm3
桃園,20190906,9,μgm3
馬祖,20190903,6,μgm3
美濃,20190903,12,μgm3
屏東,20190903,16,μgm3
三義,20190903,25,μgm3
苗栗,20190903,22,μgm3
恆春,20190903,3,μgm3
板橋,20190903,4,μgm3
陽明,20190903,3,μgm3
臺南,20190903,14,μgm3
南投,20190903,28,μgm3
汐止,20190903,3,μgm3
臺東,20190903,5,μgm3
士林,20190903,3,μgm3
花蓮,20190903,3,μgm3
桃園,20190903,5,μgm3
新竹,20190903,16,μgm3
嘉義,20190903,14,μgm3
平鎮,20190903,7,μgm3
新營,20190903,13,μgm3
宜蘭,20190903,4,μgm3
豐原,20190903,26,μgm3
朴子,20190903,15,μgm3
竹東,20190903,19,μgm3
斗六,20190903,22,μgm3
基隆,20190903,3,μgm3
金門,20190903,9,μgm3
萬華,20190903,4,μgm3
馬公,20190903,9,μgm3
忠明,20190903,24,μgm3
彰化,20190903,25,μgm3
前金,20190903,14,μgm3
美濃,20190831,13,μgm3
新竹,20190831,14,μgm3
基隆,20190831,5,μgm3
馬祖,20190831,14,μgm3
新營,20190831,12,μgm3
朴子,20190831,13,μgm3
屏東,20190831,14,μgm3
彰化,20190831,20,μgm3
馬公,20190831,11,μgm3
嘉義,20190831,14,μgm3
士林,20190831,4,μgm3
臺東,20190831,3,μgm3
金門,20190831,15,μgm3
恆春,20190831,3,μgm3
南投,20190831,17,μgm3
斗六,20190831,16,μgm3
豐原,20190831,22,μgm3
平鎮,20190831,6,μgm3
忠明,20190831,18,μgm3
桃園,20190831,6,μgm3
前金,20190831,13,μgm3
苗栗,20190831,16,μgm3
花蓮,20190831,4,μgm3
臺南,20190831,15,μgm3
竹東,20190831,12,μgm3
板橋,20190831,6,μgm3
三義,20190831,20,μgm3
花蓮,20190828,6,μgm3
竹東,20190828,22,μgm3
新營,20190828,22,μgm3
三義,20190828,22,μgm3
前金,20190828,18,μgm3
金門,20190828,13,μgm3
豐原,20190828,24,μgm3
馬祖,20190828,7,μgm3
斗六,20190828,39,μgm3
基隆,20190828,5,μgm3
汐止,20190828,5,μgm3
宜蘭,20190828,6,μgm3
美濃,20190828,18,μgm3
板橋,20190828,9,μgm3
南投,20190828,28,μgm3
苗栗,20190828,23,μgm3
忠明,20190828,27,μgm3
臺南,20190828,17,μgm3
朴子,20190828,22,μgm3
新竹,20190828,24,μgm3
屏東,20190828,20,μgm3
嘉義,20190828,27,μgm3
馬公,20190828,11,μgm3
桃園,20190828,19,μgm3
臺東,20190828,6,μgm3
士林,20190828,4,μgm3
平鎮,20190828,29,μgm3
恆春,20190828,4,μgm3
彰化,20190828,29,μgm3
萬華,20190828,5,μgm3
南投,20190825,5,μgm3
板橋,20190825,9,μgm3
朴子,20190825,5,μgm3
馬祖,20190825,10,μgm3
基隆,20190825,6,μgm3
前金,20190825,10,μgm3
士林,20190825,8,μgm3
桃園,20190825,10,μgm3
竹東,20190825,9,μgm3
三義,20190825,8,μgm3
屏東,20190825,7,μgm3
花蓮,20190825,5,μgm3
新營,20190825,5,μgm3
臺東,20190825,7,μgm3
新竹,20190825,10,μgm3
馬公,20190825,8,μgm3
恆春,20190825,9,μgm3
平鎮,20190825,10,μgm3
嘉義,20190825,4,μgm3
萬華,20190825,9,μgm3
豐原,20190825,7,μgm3
金門,20190825,8,μgm3
斗六,20190825,5,μgm3
汐止,20190825,7,μgm3
彰化,20190825,6,μgm3
宜蘭,20190825,7,μgm3
美濃,20190825,5,μgm3
苗栗,20190825,10,μgm3
臺南,20190825,7,μgm3
陽明,20190825,4,μgm3
美濃,20190822,8,μgm3
臺東,20190822,6,μgm3
汐止,20190822,8,μgm3
桃園,20190822,13,μgm3
新營,20190822,14,μgm3
臺南,20190822,10,μgm3
新竹,20190822,17,μgm3
平鎮,20190822,14,μgm3
嘉義,20190822,18,μgm3
豐原,20190822,17,μgm3
南投,20190822,21,μgm3
陽明,20190822,5,μgm3
宜蘭,20190822,8,μgm3
朴子,20190822,13,μgm3
板橋,20190822,9,μgm3
彰化,20190822,17,μgm3
前金,20190822,10,μgm3
基隆,20190822,7,μgm3
馬祖,20190822,10,μgm3
苗栗,20190822,14,μgm3
斗六,20190822,22,μgm3
萬華,20190822,9,μgm3
金門,20190822,16,μgm3
忠明,20190822,18,μgm3
馬公,20190822,13,μgm3
屏東,20190822,12,μgm3
三義,20190822,14,μgm3
竹東,20190822,14,μgm3
士林,20190822,7,μgm3
花蓮,20190822,7,μgm3
基隆,20190819,12,μgm3
新營,20190819,5,μgm3
陽明,20190819,10,μgm3
嘉義,20190819,5,μgm3
南投,20190819,5,μgm3
苗栗,20190819,6,μgm3
臺南,20190819,6,μgm3
美濃,20190819,3,μgm3
平鎮,20190819,10,μgm3
恆春,20190819,3,μgm3
新竹,20190819,8,μgm3
汐止,20190819,13,μgm3
忠明,20190819,5,μgm3
馬公,20190819,7,μgm3
斗六,20190819,5,μgm3
前金,20190819,7,μgm3
板橋,20190819,11,μgm3
士林,20190819,12,μgm3
馬祖,20190819,16,μgm3
萬華,20190819,11,μgm3
彰化,20190819,5,μgm3
桃園,20190819,12,μgm3
宜蘭,20190819,9,μgm3
金門,20190819,14,μgm3
臺東,20190819,5,μgm3
竹東,20190819,7,μgm3
豐原,20190819,4,μgm3
朴子,20190819,5,μgm3
三義,20190819,3,μgm3
花蓮,20190819,5,μgm3
屏東,20190819,5,μgm3
苗栗,20190816,8,μgm3
前金,20190816,12,μgm3
三義,20190816,7,μgm3
宜蘭,20190816,13,μgm3
陽明,20190816,10,μgm3
斗六,20190816,8,μgm3
萬華,20190816,11,μgm3
汐止,20190816,12,μgm3
金門,20190816,18,μgm3
豐原,20190816,7,μgm3
美濃,20190816,5,μgm3
嘉義,20190816,8,μgm3
南投,20190816,7,μgm3
忠明,20190816,8,μgm3
馬公,20190816,10,μgm3
平鎮,20190816,10,μgm3
恆春,20190816,9,μgm3
新竹,20190816,9,μgm3
臺南,20190816,10,μgm3
花蓮,20190816,14,μgm3
屏東,20190816,11,μgm3
新營,20190816,8,μgm3
竹東,20190816,9,μgm3
桃園,20190816,9,μgm3
士林,20190816,12,μgm3
彰化,20190816,9,μgm3
板橋,20190816,11,μgm3
朴子,20190816,10,μgm3
臺東,20190816,8,μgm3
基隆,20190816,11,μgm3
馬祖,20190816,23,μgm3
宜蘭,20190813,18,μgm3
美濃,20190813,5,μgm3
前金,20190813,8,μgm3
屏東,20190813,7,μgm3
斗六,20190813,8,μgm3
板橋,20190813,15,μgm3
豐原,20190813,9,μgm3
竹東,20190813,10,μgm3
朴子,20190813,7,μgm3
陽明,20190813,10,μgm3
汐止,20190813,16,μgm3
桃園,20190813,14,μgm3
基隆,20190813,16,μgm3
金門,20190813,21,μgm3
馬公,20190813,9,μgm3
新營,20190813,6,μgm3
臺東,20190813,15,μgm3
花蓮,20190813,18,μgm3
士林,20190813,14,μgm3
平鎮,20190813,13,μgm3
三義,20190813,9,μgm3
新竹,20190813,11,μgm3
馬祖,20190813,19,μgm3
恆春,20190813,7,μgm3
萬華,20190813,14,μgm3
忠明,20190813,9,μgm3
彰化,20190813,9,μgm3
南投,20190813,9,μgm3
苗栗,20190813,9,μgm3
臺南,20190813,8,μgm3
嘉義,20190813,7,μgm3
陽明,20190810,15,μgm3
基隆,20190810,18,μgm3
汐止,20190810,19,μgm3
板橋,20190810,19,μgm3
士林,20190810,19,μgm3
萬華,20190810,19,μgm3
桃園,20190810,19,μgm3
平鎮,20190810,21,μgm3
竹東,20190810,19,μgm3
新竹,20190810,24,μgm3
南投,20190810,23,μgm3
苗栗,20190810,25,μgm3
三義,20190810,24,μgm3
豐原,20190810,24,μgm3
忠明,20190810,25,μgm3
彰化,20190810,24,μgm3
斗六,20190810,22,μgm3
朴子,20190810,20,μgm3
嘉義,20190810,20,μgm3
新營,20190810,19,μgm3
臺南,20190810,18,μgm3
美濃,20190810,17,μgm3
前金,20190810,16,μgm3
屏東,20190810,17,μgm3
恆春,20190810,14,μgm3
臺東,20190810,16,μgm3
花蓮,20190810,10,μgm3
宜蘭,20190810,8,μgm3
馬祖,20190810,19,μgm3
金門,20190810,20,μgm3
馬公,20190810,21,μgm3
基隆,20190807,8,μgm3
新營,20190807,13,μgm3
花蓮,20190807,6,μgm3
三義,20190807,9,μgm3
臺東,20190807,7,μgm3
恆春,20190807,6,μgm3
朴子,20190807,13,μgm3
南投,20190807,19,μgm3
豐原,20190807,12,μgm3
馬公,20190807,12,μgm3
斗六,20190807,18,μgm3
汐止,20190807,8,μgm3
陽明,20190807,3,μgm3
屏東,20190807,12,μgm3
竹東,20190807,5,μgm3
士林,20190807,6,μgm3
萬華,20190807,8,μgm3
平鎮,20190807,8,μgm3
金門,20190807,19,μgm3
馬祖,20190807,21,μgm3
板橋,20190807,8,μgm3
美濃,20190807,7,μgm3
嘉義,20190807,15,μgm3
新竹,20190807,8,μgm3
前金,20190807,13,μgm3
彰化,20190807,14,μgm3
臺南,20190807,11,μgm3
桃園,20190807,8,μgm3
忠明,20190807,11,μgm3
宜蘭,20190807,6,μgm3
平鎮,20190804,8,μgm3
新營,20190804,15,μgm3
前金,20190804,12,μgm3
金門,20190804,11,μgm3
花蓮,20190804,4,μgm3
桃園,20190804,4,μgm3
基隆,20190804,3,μgm3
三義,20190804,22,μgm3
汐止,20190804,3,μgm3
臺東,20190804,5,μgm3
馬祖,20190804,8,μgm3
士林,20190804,3,μgm3
南投,20190804,17,μgm3
板橋,20190804,4,μgm3
豐原,20190804,23,μgm3
萬華,20190804,4,μgm3
朴子,20190804,14,μgm3
馬公,20190804,9,μgm3
恆春,20190804,4,μgm3
美濃,20190804,14,μgm3
忠明,20190804,18,μgm3
陽明,20190804,3,μgm3
苗栗,20190804,17,μgm3
彰化,20190804,18,μgm3
屏東,20190804,15,μgm3
嘉義,20190804,13,μgm3
斗六,20190804,16,μgm3
臺南,20190804,13,μgm3
竹東,20190804,12,μgm3
新竹,20190804,10,μgm3
嘉義,20190801,11,μgm3
汐止,20190801,4,μgm3
桃園,20190801,10,μgm3
陽明,20190801,2,μgm3
馬祖,20190801,6,μgm3
美濃,20190801,12,μgm3
屏東,20190801,16,μgm3
臺南,20190801,12,μgm3
苗栗,20190801,10,μgm3
花蓮,20190801,4,μgm3
士林,20190801,3,μgm3
平鎮,20190801,15,μgm3
萬華,20190801,4,μgm3
臺東,20190801,3,μgm3
三義,20190801,10,μgm3
新營,20190801,11,μgm3
基隆,20190801,3,μgm3
忠明,20190801,11,μgm3
前金,20190801,15,μgm3
新竹,20190801,14,μgm3
板橋,20190801,5,μgm3
金門,20190801,8,μgm3
斗六,20190801,10,μgm3
恆春,20190801,3,μgm3
竹東,20190801,14,μgm3
馬公,20190801,7,μgm3
朴子,20190801,11,μgm3
豐原,20190801,11,μgm3
