SiteName,MonitorDate,Concentration,ItemUnit
陽明,20200424,5,μgm3
金門,20200424,14,μgm3
彰化,20200424,14,μgm3
斗六,20200424,32,μgm3
宜蘭,20200424,9,μgm3
美濃,20200424,24,μgm3
臺南,20200424,20,μgm3
新竹,20200424,6,μgm3
臺東,20200424,4,μgm3
馬祖,20200424,19,μgm3
桃園,20200424,9,μgm3
前金,20200424,28,μgm3
豐原,20200424,15,μgm3
竹東,20200424,5,μgm3
基隆,20200424,10,μgm3
忠明,20200424,14,μgm3
屏東,20200424,29,μgm3
新營,20200424,24,μgm3
萬華,20200424,9,μgm3
嘉義,20200424,32,μgm3
朴子,20200424,18,μgm3
汐止,20200424,10,μgm3
三義,20200424,8,μgm3
恆春,20200424,3,μgm3
花蓮,20200424,7,μgm3
板橋,20200424,9,μgm3
平鎮,20200424,8,μgm3
南投,20200424,26,μgm3
竹東,20200421,18,μgm3
基隆,20200421,10,μgm3
苗栗,20200421,19,μgm3
臺南,20200421,22,μgm3
屏東,20200421,24,μgm3
士林,20200421,11,μgm3
美濃,20200421,23,μgm3
新營,20200421,24,μgm3
萬華,20200421,10,μgm3
板橋,20200421,13,μgm3
斗六,20200421,33,μgm3
朴子,20200421,22,μgm3
彰化,20200421,22,μgm3
馬公,20200421,16,μgm3
金門,20200421,20,μgm3
南投,20200421,28,μgm3
汐止,20200421,10,μgm3
平鎮,20200421,16,μgm3
宜蘭,20200421,8,μgm3
花蓮,20200421,8,μgm3
三義,20200421,24,μgm3
嘉義,20200421,30,μgm3
臺東,20200421,9,μgm3
馬祖,20200421,14,μgm3
前金,20200421,21,μgm3
陽明,20200421,10,μgm3
桃園,20200421,15,μgm3
新竹,20200421,15,μgm3
恆春,20200421,13,μgm3
忠明,20200421,22,μgm3
苗栗,20200418,25,μgm3
馬公,20200418,19,μgm3
基隆,20200418,19,μgm3
汐止,20200418,22,μgm3
臺南,20200418,16,μgm3
金門,20200418,21,μgm3
屏東,20200418,15,μgm3
嘉義,20200418,23,μgm3
忠明,20200418,23,μgm3
恆春,20200418,7,μgm3
新竹,20200418,27,μgm3
桃園,20200418,28,μgm3
馬祖,20200418,35,μgm3
板橋,20200418,26,μgm3
陽明,20200418,21,μgm3
新營,20200418,21,μgm3
萬華,20200418,21,μgm3
三義,20200418,23,μgm3
花蓮,20200418,11,μgm3
竹東,20200418,25,μgm3
斗六,20200418,32,μgm3
美濃,20200418,17,μgm3
南投,20200418,24,μgm3
朴子,20200418,24,μgm3
士林,20200418,21,μgm3
宜蘭,20200418,18,μgm3
豐原,20200418,23,μgm3
平鎮,20200418,27,μgm3
臺東,20200418,8,μgm3
前金,20200418,15,μgm3
臺南,20200415,25,μgm3
新竹,20200415,25,μgm3
萬華,20200415,27,μgm3
豐原,20200415,26,μgm3
士林,20200415,23,μgm3
彰化,20200415,31,μgm3
金門,20200415,37,μgm3
南投,20200415,23,μgm3
斗六,20200415,25,μgm3
馬祖,20200415,40,μgm3
三義,20200415,27,μgm3
竹東,20200415,23,μgm3
平鎮,20200415,27,μgm3
宜蘭,20200415,23,μgm3
嘉義,20200415,19,μgm3
新營,20200415,24,μgm3
基隆,20200415,24,μgm3
桃園,20200415,28,μgm3
陽明,20200415,16,μgm3
板橋,20200415,30,μgm3
苗栗,20200415,24,μgm3
馬公,20200415,22,μgm3
美濃,20200415,20,μgm3
臺東,20200415,16,μgm3
忠明,20200415,27,μgm3
前金,20200415,21,μgm3
屏東,20200415,22,μgm3
汐止,20200415,27,μgm3
恆春,20200415,17,μgm3
恆春,20200412,10,μgm3
汐止,20200412,14,μgm3
