日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/01/15,"8,942,942","277,304,032",30.65,31.30,30.65,31.05,+0.40,"3,008"
108/01/16,"3,801,609","117,527,612",31.05,31.05,30.85,30.90,-0.15,"1,610"
108/01/17,"4,539,302","139,904,334",30.90,30.95,30.75,30.85,-0.05,"1,448"
108/01/18,"7,033,384","216,983,771",30.90,30.95,30.70,30.95,+0.10,"2,214"
108/01/21,"4,855,084","150,327,066",31.00,31.05,30.85,30.95, 0.00,"1,881"
108/01/22,"3,867,013","119,135,968",30.95,30.95,30.70,30.90,-0.05,"1,582"
108/01/23,"3,700,266","113,843,315",30.85,30.85,30.70,30.80,-0.10,"1,410"
108/01/24,"3,411,322","105,180,232",30.80,30.95,30.70,30.90,+0.10,"1,351"
108/01/25,"4,386,148","135,294,012",30.90,30.90,30.75,30.85,-0.05,"1,662"
108/01/28,"4,760,009","147,183,179",30.85,31.00,30.80,30.95,+0.10,"1,652"
108/01/29,"5,505,151","170,385,931",30.90,31.00,30.85,31.00,+0.05,"2,043"
108/01/30,"8,575,487","266,799,661",31.00,31.25,30.95,31.15,+0.15,"2,599"
108/04/01,"7,428,323","264,097,755",36.00,36.10,35.30,35.45,-0.55,"3,363"
108/04/02,"8,672,890","308,195,681",35.40,35.95,35.15,35.85,+0.40,"3,494"
108/04/03,"3,951,927","140,493,238",35.90,35.90,35.45,35.45,-0.40,"2,089"
108/04/08,"7,316,242","260,665,402",35.45,35.85,35.40,35.70,+0.25,"2,767"
108/04/09,"3,879,105","138,000,275",35.70,35.75,35.50,35.70, 0.00,"1,545"
108/04/10,"6,388,170","226,957,586",35.60,35.60,35.40,35.60,-0.10,"2,175"
108/04/11,"7,780,008","274,479,659",35.60,35.60,35.00,35.10,-0.50,"2,859"
108/04/12,"6,722,323","235,397,405",35.05,35.10,34.95,35.10, 0.00,"2,828"
108/04/15,"4,512,025","158,570,718",35.10,35.25,35.05,35.15,+0.05,"2,566"
108/04/16,"6,697,287","237,078,942",35.15,35.60,35.05,35.60,+0.45,"4,139"
108/04/17,"7,628,980","270,896,881",35.60,35.65,35.30,35.60, 0.00,"3,439"
108/04/18,"11,038,911","396,686,379",35.60,36.25,35.30,36.00,+0.40,"3,877"
108/04/19,"14,195,276","522,508,299",36.00,37.40,35.95,37.00,+1.00,"5,544"
108/04/22,"12,563,529","474,671,493",37.30,38.40,37.30,37.55,+0.55,"6,141"
108/04/23,"9,253,083","344,266,104",37.25,37.50,36.65,37.25,-0.30,"4,026"
108/04/24,"6,130,931","229,023,946",37.25,37.60,37.00,37.50,+0.25,"2,685"
108/04/25,"6,083,978","227,988,214",38.00,38.00,37.25,37.50, 0.00,"2,840"
108/04/26,"4,057,110","151,668,813",37.45,37.50,37.30,37.50, 0.00,"2,350"
108/04/29,"4,117,109","154,400,630",37.50,37.80,37.30,37.55,+0.05,"2,672"
108/04/30,"5,207,230","194,939,693",37.55,37.65,37.30,37.60,+0.05,"2,657"
108/07/01,"16,184,990","725,370,561",45.50,45.60,44.45,44.75,-0.95,"7,046"
108/07/02,"20,217,392","885,597,592",44.10,44.65,43.30,43.65,-1.10,"9,471"
108/07/03,"9,299,384","412,171,596",43.75,44.65,43.75,44.15,+0.50,"4,357"
108/07/04,"2,750,802","121,760,569",44.20,44.55,44.15,44.20,+0.05,"1,585"
108/07/05,"2,032,919","89,651,797",44.25,44.35,43.90,44.20, 0.00,"1,183"
108/07/08,"2,675,074","118,225,210",44.20,44.35,44.05,44.25,+0.05,"1,447"
108/07/09,"2,502,582","110,432,348",44.25,44.25,44.05,44.10,-0.15,"1,454"
108/07/10,"5,483,752","245,147,890",44.45,44.95,44.10,44.75,+0.65,"2,854"
108/07/11,"9,145,420","403,061,355",45.00,45.00,43.55,44.00,-0.75,"3,912"
108/07/12,"6,240,641","272,787,914",44.00,44.00,43.60,43.70,-0.30,"2,982"
108/07/15,"3,827,162","166,972,294",43.70,44.00,43.40,43.85,+0.15,"1,857"
108/07/16,"4,557,827","198,990,062",43.90,43.95,43.45,43.50,-0.35,"2,200"
108/07/17,"5,699,109","247,327,085",43.50,43.80,43.20,43.35,-0.15,"2,651"
108/07/18,"3,736,057","162,793,039",43.35,43.75,43.35,43.70,+0.35,"1,682"
108/07/19,"4,509,221","197,939,850",44.00,44.15,43.70,43.80,+0.10,"2,126"
108/07/22,"8,226,109","356,733,450",44.00,44.00,43.15,43.15,-0.65,"3,937"
108/07/23,"10,507,666","454,937,638",43.15,43.75,42.80,43.45,+0.30,"4,396"
108/07/24,"8,343,428","354,117,334",42.50,42.70,42.05,42.15,X0.00,"3,976"
108/07/25,"9,227,669","386,105,898",42.20,42.25,41.30,41.85,-0.30,"4,366"
108/07/26,"7,451,986","309,242,795",41.80,41.80,41.40,41.45,-0.40,"2,968"
108/07/29,"7,609,228","317,312,017",41.45,42.20,41.45,41.65,+0.20,"3,323"
108/07/30,"4,051,361","169,182,023",41.70,41.95,41.65,41.75,+0.10,"2,170"
108/07/31,"3,562,532","148,345,599",41.75,41.85,41.50,41.60,-0.15,"1,830"
108/11/01,"3,104,269","111,654,553",36.05,36.20,35.85,36.00,-0.05,"1,819"
108/11/04,"3,114,126","112,305,116",36.00,36.20,35.85,36.20,+0.20,"1,620"
108/11/05,"3,100,154","112,154,809",36.05,36.35,36.05,36.35,+0.15,"1,324"
108/11/06,"3,249,489","117,934,460",36.35,36.40,36.20,36.30,-0.05,"1,536"
108/11/07,"2,945,702","107,213,331",36.35,36.50,36.30,36.40,+0.10,"1,576"
108/11/08,"3,831,321","139,147,411",36.45,36.50,35.90,36.50,+0.10,"1,963"
108/11/11,"4,536,611","164,813,046",36.50,36.55,36.15,36.30,-0.20,"2,135"
108/11/12,"3,187,712","115,447,978",36.45,36.45,36.00,36.40,+0.10,"1,699"
108/11/13,"7,844,080","278,664,031",36.25,36.25,35.20,35.20,-1.20,"3,974"
108/11/14,"3,423,910","121,116,251",35.20,35.55,35.10,35.30,+0.10,"1,888"
108/11/15,"3,177,075","113,348,930",35.50,35.90,35.45,35.70,+0.40,"1,663"
108/11/18,"2,768,240","99,200,743",35.80,36.05,35.60,36.05,+0.35,"1,229"
108/11/19,"2,315,746","83,183,373",35.75,36.10,35.70,36.00,-0.05,"1,017"
108/11/20,"2,828,742","102,139,344",36.00,36.20,35.90,36.20,+0.20,"1,376"
108/11/21,"4,919,211","177,918,456",36.15,36.45,35.75,36.40,+0.20,"2,018"
108/11/22,"2,044,602","74,324,714",36.40,36.45,36.20,36.45,+0.05,"1,016"
108/11/25,"2,254,252","81,991,574",36.50,36.50,36.25,36.35,-0.10,"1,290"
108/11/26,"8,669,363","313,314,310",36.40,36.40,36.05,36.05,-0.30,"1,760"
108/11/27,"2,059,103","74,393,319",36.30,36.30,36.00,36.15,+0.10,"1,138"
108/11/28,"1,506,941","54,493,153",36.15,36.30,36.00,36.20,+0.05,974
108/11/29,"3,507,608","126,146,224",36.20,36.20,35.80,35.95,-0.25,"1,157"
109/02/03,"6,780,763","239,751,418",35.80,35.80,34.70,35.55,-0.60,"3,054"
109/02/04,"4,885,683","176,138,175",35.45,36.45,35.40,36.20,+0.65,"2,670"
109/02/05,"3,268,409","117,958,423",36.20,36.30,35.80,36.05,-0.15,"1,570"
109/02/06,"3,924,526","143,294,387",36.60,36.75,36.35,36.55,+0.50,"1,762"
109/02/07,"2,747,793","99,563,459",36.50,36.50,36.10,36.15,-0.40,"1,460"
109/02/10,"6,552,067","234,879,912",36.10,36.30,35.55,35.80,-0.35,"2,490"
109/02/11,"2,075,481","74,596,752",35.95,36.20,35.80,35.90,+0.10,"1,273"
109/02/12,"4,795,135","172,578,304",35.80,36.15,35.70,36.00,+0.10,"2,568"
109/02/13,"4,067,981","146,511,001",36.00,36.15,35.95,36.00, 0.00,"1,753"
109/02/14,"2,739,676","98,365,297",35.90,36.00,35.85,35.90,-0.10,"1,711"
109/02/17,"3,696,757","131,964,512",35.80,35.85,35.55,35.60,-0.30,"1,671"
109/02/18,"3,581,684","127,135,853",35.55,35.65,35.35,35.65,+0.05,"1,798"
109/02/19,"2,822,800","101,341,709",35.60,36.15,35.55,36.05,+0.40,"1,528"
109/02/20,"4,587,334","163,579,132",36.00,36.00,35.50,35.55,-0.50,"2,367"
109/02/21,"4,892,917","173,606,608",35.55,35.65,35.35,35.50,-0.05,"2,169"
109/02/24,"7,921,488","277,430,419",35.10,35.20,34.85,35.10,-0.40,"3,525"
109/02/25,"5,342,920","186,663,770",34.75,35.10,34.65,35.00,-0.10,"2,879"
109/02/26,"6,809,890","236,061,507",34.60,34.85,34.55,34.55,-0.45,"3,376"
109/02/27,"8,092,348","278,769,772",34.50,34.60,34.30,34.50,-0.05,"2,786"
109/05/04,"6,010,634","200,409,259",33.00,33.70,32.85,33.45,-0.65,"3,471"
109/05/05,"3,640,535","121,775,515",33.50,33.65,33.30,33.35,-0.10,"2,053"
109/05/06,"2,882,157","96,167,099",33.45,33.50,33.00,33.40,+0.05,"1,371"
109/05/07,"3,465,367","115,690,873",33.40,33.60,33.25,33.45,+0.05,"1,797"
109/05/08,"3,563,251","119,449,154",33.60,33.75,33.40,33.50,+0.05,"2,040"
109/05/11,"4,799,015","162,866,988",33.60,34.40,33.55,33.85,+0.35,"2,442"
109/05/12,"3,722,701","124,688,481",33.55,33.75,33.40,33.40,-0.45,"2,105"
109/05/13,"3,592,281","121,095,065",33.35,34.30,33.30,33.90,+0.50,"1,699"
109/05/14,"3,003,226","101,172,146",33.80,33.90,33.55,33.60,-0.30,"1,425"
109/05/15,"2,900,978","97,253,499",33.80,33.80,33.30,33.50,-0.10,"1,257"
109/05/18,"3,955,241","133,255,769",33.35,34.00,33.30,33.80,+0.30,"1,559"
109/05/19,"12,424,364","431,054,196",34.90,35.00,34.50,34.55,+0.75,"5,716"
109/05/20,"12,566,246","440,600,608",34.75,35.35,34.70,35.10,+0.55,"5,389"
109/05/21,"15,086,537","540,455,766",35.55,36.20,35.35,36.10,+1.00,"6,613"
109/05/22,"8,052,545","287,441,290",36.10,36.10,35.45,35.45,-0.65,"4,042"
109/05/25,"23,773,708","875,286,036",35.55,37.50,35.50,37.30,+1.85,"9,310"
109/05/26,"22,275,263","848,198,670",38.00,38.50,37.65,38.25,+0.95,"10,142"
109/05/27,"29,864,997","1,174,311,797",38.60,39.90,38.60,39.30,+1.05,"14,334"
109/05/28,"20,923,002","814,847,840",39.95,39.95,38.10,38.45,-0.85,"10,772"
109/05/29,"19,808,867","750,579,146",38.40,38.40,37.70,37.70,-0.75,"6,817"
107/01/02,"2,396,750","56,762,022",23.55,23.90,23.50,23.65,+0.15,957
107/01/03,"2,505,721","59,381,863",23.65,23.80,23.65,23.70,+0.05,900
107/01/04,"1,668,734","39,494,566",23.75,23.75,23.60,23.70, 0.00,673
107/01/05,"1,915,166","45,254,728",23.80,23.80,23.55,23.65,-0.05,"1,060"
107/01/08,"1,789,690","42,283,782",23.65,23.70,23.55,23.60,-0.05,980
107/01/09,"1,790,124","42,304,778",23.60,23.70,23.55,23.70,+0.10,804
107/01/10,"2,760,753","65,561,764",23.70,23.80,23.60,23.80,+0.10,"1,134"
107/01/11,"2,062,921","48,828,412",23.80,23.80,23.60,23.70,-0.10,"1,013"
107/01/12,"3,351,782","79,712,315",23.80,23.90,23.70,23.75,+0.05,"1,468"
107/01/15,"1,996,693","47,435,331",23.80,23.80,23.70,23.80,+0.05,884
107/01/16,"2,189,502","52,019,644",23.80,23.80,23.70,23.80, 0.00,"1,149"
107/01/17,"4,642,374","111,047,776",23.80,24.00,23.80,24.00,+0.20,"2,441"
107/01/18,"3,367,151","80,729,574",24.00,24.05,23.90,23.95,-0.05,"1,398"
107/01/19,"2,253,096","53,709,543",23.95,23.95,23.80,23.85,-0.10,966
