年度,機構名稱,訓練地址,班級名稱,訓練職類大類,開訓日期,結訓日期,受訓資格,訓練時數,就業率
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,工業配線(高雄),工業類,2015/4/14,2015/9/30,高中/職(含)以上,900,95.45%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,網路行銷,工業類,2012/11/19,2013/3/19,高中/職(含)以上,632,95.65%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路,營建工程管理實務A,工業類,2012/2/29,2012/8/14,高中/職(含)以上,912,95.65%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路,精密塑模設計與製造,工業類,2012/9/24,2013/3/15,高中/職(含)以上,920,95.65%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,網頁實務應用,工業類,2012/8/13,2013/1/25,高中/職(含)以上,928,95.65%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內設計實務(工程組),商業類,2012/1/12,2012/6/27,高中/職(含)以上,900,95.65%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,民宿經營管理實務,商業類,2012/10/4,2012/12/6,不限,360,95.65%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,國際會議展覽實務,商業類,2012/7/12,2012/10/25,專科(含)以上,600,95.65%
2012,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,氬銲,工業類,2012/5/10,2012/7/16,國中(含)以上,360,95.65%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,五軸加工技術應用A,工業類,2013/6/3,2013/9/27,高中/職(含)以上,624,95.65%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助模具設計製作A班,工業類,2013/4/29,2013/10/18,高中/職(含)以上,928,95.65%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號, 電腦輔助機械製造C班,工業類,2013/4/29,2013/10/18,高中/職(含)以上,928,95.65%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助二輪車輛修護A班,工業類,2013/2/18,2013/8/2,高中/職(含)以上,920,95.65%
2013,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,電腦輔助機械製圖(五股),工業類,2013/9/9,2014/2/25,高中/職(含)以上,900,95.65%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,觀光導遊實務,商業類,2013/6/6,2013/7/30,不限,304,95.65%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,國際會議展覽實務,商業類,2013/7/11,2013/12/18,專科(含)以上,900,95.65%
2013,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,電腦輔助精密機械實務與應用,工業類,2013/7/9,2014/6/3,高中/職(含)以上,1800,95.65%
2013,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,電腦輔助設計與製造,工業類,2013/1/4,2013/6/26,專科(含)以上,900,95.65%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,木作設施製作實務B,藝術類,2014/9/22,2015/3/13,高中/職(含)以上,928,95.65%
2014,勞動力發展署中彰投分署,臺中市霧峰區柳豐路500號（亞洲大學）,移地訓練-食品烘焙A,醫事護理及家事類,2014/9/9,2014/11/28,國中(含)以上,464,95.65%
2014,勞動力發展署中彰投分署,彰化縣鹿港鎮中正路588號,電腦輔助機械製圖班(B)(勞動學苑),工業類,2014/9/10,2015/2/11,高中/職(含)以上,720,95.65%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,工業配線(自動化控制)B,工業類,2014/7/7,2014/12/23,高中/職(含)以上,912,95.65%
2015,勞動力發展署中彰投分署,臺中市西屯區中部科學園區科園路21號,移地訓練-視傳設計實務B,商業類,2015/12/28,2016/6/16,高中/職(含)以上,904,95.65%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助模具設計製作（模具CAD/CAM）C,工業類,2015/9/7,2016/3/1,高中/職(含)以上,900,95.65%
2015,勞動力發展署桃竹苗分署,新竹縣竹北市福興路576號,輕食飲料微型創業專班(樂活蔬食組)(新竹),醫事護理及家事類,2015/9/1,2015/10/3,國中(含)以上,184,95.65%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內裝潢木工實務（桃園）,藝術類,2015/7/14,2015/12/21,高中/職(含)以上,900,95.65%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路,室內水電技術A,工業類,2012/2/29,2012/8/14,國中(含)以上,912,95.83%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,金屬熔接技術,工業類,2012/8/7,2013/1/18,國中(含)以上,920,95.83%
2012,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,機電整合控制班,工業類,2012/7/10,2013/6/7,高中/職(含)以上,1800,95.83%
2012,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號, 冷凍空調節能,工業類,2012/7/10,2013/6/7,高中/職(含)以上,1800,95.83%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,室內水電技術(工程)B,工業類,2013/11/4,2014/4/25,國中(含)以上,928,95.83%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,營建工程管理實務B,工業類,2013/8/12,2014/1/28,高中/職(含)以上,912,95.83%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,倉儲與物料管理實務,商業類,2013/5/8,2013/7/15,高中/職(含)以上,384,95.83%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內裝潢實務,商業類,2013/1/3,2013/6/20,高中/職(含)以上,900,95.83%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內設計實務(設計組),商業類,2013/1/3,2013/6/20,專科(含)以上,900,95.83%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,網頁視覺程式設計,商業類,2013/1/3,2013/6/20,專科(含)以上,900,95.83%
2013,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,手工電銲暨半自動電銲,工業類,2013/9/2,2013/12/20,國中(含)以上,624,95.83%
2013,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,模具製造,工業類,2013/1/4,2013/12/3,高中/職(含)以上,1800,95.83%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,室內水電技術A,工業類,2014/2/10,2014/7/25,國中(含)以上,920,95.83%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦網路工程實務A,工業類,2014/4/14,2014/10/3,專科(含)以上,928,95.83%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,服飾創意實務,醫事護理及家事類,2014/1/6,2014/6/24,高中/職(含)以上,900,95.83%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,電腦數值控制機械((CAD/CAM與CNC?削中心機)),工業類,2014/9/24,2015/2/26,高中/職(含)以上,888,95.83%
2014,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,電腦輔助設計與製造,工業類,2014/1/8,2014/6/26,專科(含)以上,900,95.83%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,工業配線(自動化控制)A,工業類,2015/1/19,2015/7/8,高中/職(含)以上,900,95.83%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,服裝樣版設計（桃園）,醫事護理及家事類,2015/7/14,2015/12/21,高中/職(含)以上,900,95.83%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,智慧節能水電自動控制(桃園)A,工業類,2015/4/15,2015/9/22,高中/職(含)以上,900,95.83%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,倉管與堆高機實務班,工業類,2015/3/3,2015/4/8,不限,200,95.83%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,水電,工業類,2015/1/21,2015/6/26,高中/職(含)以上,840,95.83%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,電腦輔助機械設計與製造班(產訓合作)(高雄),工業類,2015/6/26,2016/2/5,專科(含)以上,1208,95.83%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,電腦輔助鋼結構製作(高雄),工業類,2015/7/14,2015/12/30,國中(含)以上,900,95.83%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,機電整合班(高雄),工業類,2015/7/14,2016/6/17,高中/職(含)以上,1800,95.83%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,禮服設計製作班,醫事護理及家事類,2015/3/3,2015/5/21,高中/職(含)以上,440,95.83%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,室內水電技術(工程),工業類,2012/11/5,2013/4/30,國中(含)以上,936,96.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路,冷凍空調裝修,工業類,2012/4/2,2012/9/18,高中/職(含)以上,920,96.00%
2012,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,機械加工與CNC車床,工業類,2012/1/11,2012/6/22,高中/職(含)以上,880,96.00%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,廣告設計實務B,藝術類,2013/9/3,2014/2/21,高中/職(含)以上,920,96.00%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密機械G,工業類,2013/11/11,2014/6/27,高中/職(含)以上,1232,96.00%
2013,勞動力發展署中彰投分署,臺中市西屯區科園路21號（朝陽科技大學創新育成中心）,視傳設計實務-移地訓練 ,商業類,2013/10/21,2014/4/11,高中/職(含)以上,928,96.00%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,室內設計實務B,藝術類,2013/12/16,2014/8/1,高中/職(含)以上,1232,96.00%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密塑模設計與製造B,工業類,2013/9/16,2014/3/7,高中/職(含)以上,912,96.00%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,國際會議展覽實務,商業類,2013/1/3,2013/6/20,專科(含)以上,900,96.00%
2013,行政院勞工委員會職業訓練局青年職業訓練中心,桃園市楊梅區幼獅路二段三號,電機自動控制,工業類,2013/7/10,2013/12/19,專科(含)以上,900,96.00%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,機電整合C,工業類,2014/12/29,2015/8/14,高中/職(含)以上,1216,96.00%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,節能技術-冷凍空調裝修A,工業類,2014/6/16,2014/12/2,高中/職(含)以上,912,96.00%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密機械F,工業類,2014/9/29,2015/5/12,高中/職(含)以上,1200,96.00%
2014,勞動力發展署桃竹苗分署,桃園市桃園區東國街14號,家電宅配安裝實務班,工業類,2014/11/24,2014/11/28,國中(含)以上,40,96.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,視覺傳達設計,商業類,2014/7/14,2014/12/19,專科(含)以上,900,96.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路二段三號, Java系統設計與應用 (幼獅),工業類,2014/5/20,2014/10/30,專科(含)以上,900,96.00%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,數位設計(網頁設計＆網路工程),工業類,2014/1/22,2014/6/27,高中/職(含)以上,848,96.00%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,CNC數控A,工業類,2015/2/2,2015/7/22,高中/職(含)以上,900,96.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,西餐烹調專班(異國料理創業實務組)(桃園),醫事護理及家事類,2015/11/5,2015/12/29,國中(含)以上,312,96.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,倉管與堆高機實務（桃園）,工業類,2015/7/7,2015/8/11,不限,200,96.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,冷凍空調節能（桃園）,工業類,2015/7/7,2015/12/14,不限,900,96.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製造,工業類,2012/5/7,2012/10/24,高中/職(含)以上,920,96.15%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,建築物裝潢實務,藝術類,2012/11/12,2013/7/2,高中/職(含)以上,1240,96.15%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,優質內衣設計與打版製造師,醫事護理及家事類,2012/12/5,2013/5/23,專科(含)以上,904,96.15%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,室內水電技術A班,工業類,2013/2/18,2013/8/2,國中(含)以上,920,96.15%
2013,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,創意家具設計及製作,工業類,2013/1/23,2013/6/28,高中/職(含)以上,840,96.15%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製造A,工業類,2014/2/10,2014/7/25,高中/職(含)以上,920,96.15%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,智慧節能水電實務,工業類,2014/4/14,2014/9/22,高中/職(含)以上,900,96.15%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,水電,工業類,2014/1/22,2014/6/27,高中/職(含)以上,848,96.15%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助模具設計製作（模具CAD/CAM）A,工業類,2015/3/16,2015/8/25,高中/職(含)以上,900,96.15%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,汽車修護B,工業類,2015/10/19,2016/4/1,高中/職(含)以上,900,96.15%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,室內水電技術(工程)B,工業類,2015/11/2,2016/4/19,國中(含)以上,900,96.15%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,CNC數控E,工業類,2015/8/24,2016/2/5,高中/職(含)以上,900,96.15%
2015,勞動力發展署桃竹苗分署,新竹縣竹北市福興路576號,輕食飲料微型創業專班(創新義大利麵食組)(新竹),醫事護理及家事類,2015/12/14,2016/1/14,國中(含)以上,184,96.15%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,綠生活與裝修工程實務(台南),工業類,2015/7/22,2015/12/25,高中/職(含)以上,888,96.15%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,消防安全設備管理,工業類,2015/1/21,2015/6/26,高中/職(含)以上,840,96.15%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路, 網頁實務應用A,工業類,2012/2/21,2012/8/8,高中/職(含)以上,904,96.30%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密機械,工業類,2012/6/4,2013/1/11,高中/職(含)以上,1224,96.30%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助二輪車輛修護,工業類,2012/8/20,2013/2/1,高中/職(含)以上,928,96.30%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,食品烘焙,醫事護理及家事類,2012/11/5,2013/4/30,國中(含)以上,928,96.30%
2012,勞動力發展署桃竹苗分署,苗栗縣竹南鎮大埔里6鄰公義路890號,芳香舒壓實務中高齡專,醫事護理及家事類,2012/6/1,2012/8/16,國中(含)以上,440,96.30%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,視覺傳達設計,商業類,2012/7/12,2012/12/18,高中/職(含)以上,900,96.30%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製造E,工業類,2013/9/3,2014/2/21,高中/職(含)以上,920,96.30%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,工業配線(自動化控制)B,工業類,2013/7/8,2013/12/25,高中/職(含)以上,928,96.30%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製造F,工業類,2013/10/28,2014/4/18,高中/職(含)以上,928,96.30%
2013,行政院勞工委員會職業訓練局青年職業訓練中心,桃園市楊梅區幼獅路二段三號,Java系統設計及網路應用,工業類,2013/7/17,2013/12/24,專科(含)以上,900,96.30%
2013,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,綠生活與裝修工程實務,工業類,2013/7/17,2013/12/27,高中/職(含)以上,928,96.30%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號, 室內水電技術(工程)B,工業類,2014/11/3,2015/4/23,國中(含)以上,912,96.30%
2014,勞動力發展署中彰投分署,臺中市西屯區科園路21號（朝陽科技大學創新育成中心）,移地訓練-視傳設計實務B,商業類,2014/12/15,2015/6/5,高中/職(含)以上,928,96.30%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,冷凍空調裝修A,工業類,2014/3/17,2014/9/2,高中/職(含)以上,904,96.30%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,智慧節能水電實務C,工業類,2014/10/13,2015/3/30,高中/職(含)以上,900,96.30%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路二段三號,手機程式開發(幼獅),工業類,2014/5/20,2014/10/30,專科(含)以上,900,96.30%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,室內設計實務,藝術類,2015/4/13,2015/11/20,高中/職(含)以上,1204,96.30%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦網路工程實務B,工業類,2015/10/5,2016/3/21,專科(含)以上,900,96.30%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,網路商務技術應用設計B,商業類,2015/11/2,2016/4/19,高中/職(含)以上,900,96.30%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製圖與製造C,工業類,2015/8/4,2016/3/22,高中/職(含)以上,1212,96.30%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,飾品設計與製造A,工業類,2015/5/11,2015/10/26,高中/職(含)以上,900,96.30%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,CNC數控C,工業類,2015/4/27,2015/10/12,高中/職(含)以上,900,96.30%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號, 飾品設計與製造,工業類,2012/11/5,2013/4/30,高中/職(含)以上,936,96.43%
2012,勞動力發展署雲嘉南分署,臺南市官田區工業路,創意家具設計及製作,工業類,2012/1/11,2012/6/22,高中/職(含)以上,880,96.43%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,堆高機操作,工業類,2013/8/19,2013/8/27,不限,56,96.43%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,時尚飲料創業,醫事護理及家事類,2013/10/3,2013/12/26,國中(含)以上,480,96.43%
2013,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,創意家具設計及製作,工業類,2013/7/17,2013/12/27,高中/職(含)以上,928,96.43%
2013,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,機械加工與CNC車床,工業類,2013/7/17,2013/12/27,高中/職(含)以上,928,96.43%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製圖與製造A,工業類,2014/3/3,2014/10/14,高中/職(含)以上,1208,96.43%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,景觀設計實務,農業類,2014/8/18,2015/4/2,高中/職(含)以上,1232,96.43%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,智慧節能水電實務B,工業類,2014/10/13,2015/3/30,高中/職(含)以上,900,96.43%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,倉管與堆高機實務班,工業類,2014/5/1,2014/6/5,不限,200,96.43%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,時尚飲料創業,醫事護理及家事類,2014/1/2,2014/4/3,國中(含)以上,480,96.43%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,網頁實務應用B,商業類,2015/8/4,2016/1/19,高中/職(含)以上,900,96.43%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,室內水電技術A,工業類,2015/2/2,2015/7/22,國中(含)以上,900,96.43%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,綠色能源水電自動控制班,工業類,2015/1/6,2015/6/26,高中/職(含)以上,900,96.43%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內設計實務（桃園）,藝術類,2015/7/14,2015/12/21,專科(含)以上,900,96.43%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路,機電整合,工業類,2012/1/10,2012/8/21,高中/職(含)以上,1232,96.55%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,食品烘焙,醫事護理及家事類,2012/5/14,2012/10/30,國中(含)以上,912,96.55%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,時尚飲料創業,醫事護理及家事類,2012/4/11,2012/6/27,國中(含)以上,440,96.55%
2012,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,電腦數值控制機械((CAD/CAM與CNC?削中心機)),工業類,2012/7/18,2012/12/28,高中/職(含)以上,936,96.55%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製圖與製造E,工業類,2013/9/30,2014/5/16,高中/職(含)以上,1232,96.55%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,倉儲與物料管理實務,商業類,2013/8/15,2013/10/23,高中/職(含)以上,384,96.55%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,電腦數值控制機械-CNC銑床班,工業類,2013/7/11,2013/12/18,高中/職(含)以上,900,96.55%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助模具設計製作（模具CAD/CAM）A,工業類,2014/3/17,2014/9/2,高中/職(含)以上,904,96.55%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,食品烘焙A,醫事護理及家事類,2014/5/5,2014/10/21,國中(含)以上,904,96.55%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,倉管與堆高機實務班,工業類,2014/11/10,2014/12/12,不限,200,96.55%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,物流從業人員(高雄) ,商業類,2015/4/14,2015/6/15,高中/職(含)以上,300,96.55%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製造B,工業類,2014/3/3,2014/8/19,高中/職(含)以上,904,96.67%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,時尚飲料創業,醫事護理及家事類,2014/7/3,2014/9/25,國中(含)以上,480,96.67%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,食品烘焙B,醫事護理及家事類,2015/11/2,2016/4/19,國中(含)以上,900,96.67%
2013,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,國際貿易行銷,商業類,2013/1/4,2013/4/10,高中/職(含)以上,476,96.77%
2014,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,國際貿易行銷,商業類,2014/10/1,2014/12/4,高中/職(含)以上,350,96.77%
2013,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路,國際貿易行銷,商業類,2013/9/2,2013/11/28,高中/職(含)以上,476,96.88%
2013,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,觀光旅遊,商業類,2013/7/9,2013/9/11,高中/職(含)以上,356,96.88%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,西餐烹調專業,醫事護理及家事類,2014/1/9,2014/5/5,國中(含)以上,600,96.88%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,烘焙食品專業,醫事護理及家事類,2012/1/4,2012/4/26,國中(含)以上,600,96.97%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,食品烘焙B,醫事護理及家事類,2014/11/3,2015/4/23,國中(含)以上,912,96.97%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,中餐烹調專業,醫事護理及家事類,2014/4/8,2014/6/25,國中(含)以上,440,97.14%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,網路行銷,工業類,2012/7/16,2012/11/8,高中/職(含)以上,616,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,工具機與精密模具設計製造B班,工業類,2012/8/20,2013/8/2,高中/職(含)以上,1880,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號, 機電控制B班,工業類,2012/8/20,2013/8/2,高中/職(含)以上,1880,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,太陽能光電系統應用技術,工業類,2012/9/5,2013/8/13,專科(含)以上,1840,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路, 產訓合作-汽車車身(鈑噴)技術班,工業類,2012/12/26,2013/6/24,國中(含)以上,952,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路, 精密塑模設計與製造,工業類,2012/3/27,2012/9/12,高中/職(含)以上,920,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路,精密機械,工業類,2012/3/19,2012/10/29,高中/職(含)以上,1216,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路,室內設計實務,藝術類,2012/1/16,2012/8/30,高中/職(含)以上,1200,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路,電腦輔助機械製造A,工業類,2012/2/6,2012/7/20,高中/職(含)以上,928,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路, 金屬熔接技術A,工業類,2012/2/6,2012/7/20,國中(含)以上,928,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路,精密機械,工業類,2012/2/13,2012/9/20,高中/職(含)以上,1200,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路,電腦輔助二輪車輛修護A,工業類,2012/2/29,2012/8/14,高中/職(含)以上,912,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密機械,工業類,2012/4/30,2012/12/7,高中/職(含)以上,1224,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密機械,工業類,2012/11/5,2013/6/25,高中/職(含)以上,1240,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製圖與製造,工業類,2012/5/28,2013/1/4,高中/職(含)以上,1224,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製造,工業類,2012/8/7,2013/1/18,高中/職(含)以上,920,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密機械,工業類,2012/8/7,2013/3/22,高中/職(含)以上,1224,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密機械,工業類,2012/9/24,2013/5/14,高中/職(含)以上,1232,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製造,工業類,2012/9/3,2013/2/22,高中/職(含)以上,920,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助模具設計製作,工業類,2012/10/29,2013/4/24,高中/職(含)以上,936,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路,電腦輔助機械製圖與製造,工業類,2012/6/11,2013/1/18,高中/職(含)以上,1224,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,汽車修護,工業類,2012/6/18,2012/12/4,高中/職(含)以上,904,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,汽車修護,工業類,2012/9/17,2013/3/12,高中/職(含)以上,928,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,飾品設計與製造,工業類,2012/5/14,2012/10/30,高中/職(含)以上,912,100.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,營建工程管理實務,工業類,2012/8/20,2013/2/1,高中/職(含)以上,928,100.00%
