年度,機構名稱,訓練地址,班級名稱,訓練職類大類,開訓日期,結訓日期,受訓資格,訓練時數,就業率
2013,行政院勞工委員會職業訓練局青年職業訓練中心,桃園市楊梅區幼獅路二段三號,電腦輔助機械設計_Auto Cad,工業類,2013/1/9,2013/6/28,高中/職(含)以上,900,91.30%
2013,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,廣告設計,工業類,2013/7/17,2013/12/27,高中/職(含)以上,928,91.30%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,冷凍空調裝修B,工業類,2014/10/6,2015/3/27,高中/職(含)以上,928,91.30%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助二輪車輛修護A,工業類,2014/2/17,2014/8/1,國中(含)以上,920,91.30%
2014,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,電腦輔助機械設計與製造【設計組】(五股),工業類,2014/3/10,2014/9/5,專科(含)以上,1000,91.30%
2014,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,電腦輔助機械製圖(五股),工業類,2014/3/3,2014/8/13,高中/職(含)以上,920,91.30%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,芳香舒壓實務,醫事護理及家事類,2014/10/6,2014/12/22,國中(含)以上,440,91.30%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,產業機電控制,工業類,2014/8/15,2015/3/26,專科(含)以上,1200,91.30%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,視覺傳達設計,商業類,2014/1/6,2014/6/24,專科(含)以上,900,91.30%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,節能規劃師,工業類,2014/3/3,2014/8/11,專科(含)以上,900,91.30%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內配線暨用電設備實務班,工業類,2014/4/8,2014/7/1,不限,468,91.30%
2014,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,網路伺服器管理及規劃班,工業類,2014/7/8,2014/12/19,專科(含)以上,900,91.30%
2015,勞動力發展署桃竹苗分署,苗栗縣竹南鎮科北二路2號,輕食飲料微型創業專班(西式餐飲組)(苗栗),醫事護理及家事類,2015/10/26,2015/11/26,國中(含)以上,192,91.30%
