"15歲以上人口數","總計","未婚","有偶","離婚","喪偶","男","未婚","有偶","離婚","喪偶","女","未婚","有偶","離婚","喪偶"
"105年/ 苗栗縣 / 85-89歲","7,570","108","2,710","80","4,672","3,342","43","1,879","60","1,360","4,228","65","831","20","3,312"
"105年/ 苗栗縣 / 90-94歲","2,658","42","545","23","2,048","1,008","17","414","13","564","1,650","25","131","10","1,484"
"105年/ 苗栗縣 / 95-99歲","553","20","64","5","464","191","9","56","1","125","362","11","8","4","339"
"105年/ 苗栗縣 / 100歲以上","79","2","5","1","71","28","1","4","-","23","51","1","1","1","48"
"105年/ 彰化縣 / 年齡別總計","1,111,723","375,722","589,661","64,830","81,510","564,836","209,696","304,080","34,570","16,490","546,887","166,026","285,581","30,260","65,020"
"105年/ 彰化縣 / 15-19歲","83,051","82,750","269","32","-","43,420","43,374","42","4","-","39,631","39,376","227","28","-"
"105年/ 彰化縣 / 20-24歲","91,796","87,856","3,540","395","5","47,902","46,598","1,163","141","-","43,894","41,258","2,377","254","5"
"105年/ 彰化縣 / 25-29歲","93,323","72,617","18,976","1,695","35","48,911","40,964","7,262","682","3","44,412","31,653","11,714","1,013","32"
"105年/ 彰化縣 / 30-34歲","102,670","49,946","47,631","4,883","210","52,557","30,079","20,478","1,976","24","50,113","19,867","27,153","2,907","186"
"105年/ 彰化縣 / 35-39歲","107,903","32,877","65,577","8,857","592","55,512","19,935","31,254","4,242","81","52,391","12,942","34,323","4,615","511"
"105年/ 彰化縣 / 40-44歲","92,405","18,535","63,065","9,886","919","47,675","10,650","31,649","5,270","106","44,730","7,885","31,416","4,616","813"
"105年/ 彰化縣 / 45-49歲","89,560","11,445","66,260","9,944","1,911","46,620","6,549","34,155","5,628","288","42,940","4,896","32,105","4,316","1,623"
"105年/ 彰化縣 / 50-54歲","96,591","8,104","74,488","10,363","3,636","50,230","4,827","38,993","5,851","559","46,361","3,277","35,495","4,512","3,077"
"105年/ 彰化縣 / 55-59歲","91,574","4,991","72,320","8,408","5,855","47,272","3,001","38,708","4,634","929","44,302","1,990","33,612","3,774","4,926"
"105年/ 彰化縣 / 60-64歲","79,888","3,003","62,776","5,611","8,498","40,617","1,703","34,230","3,227","1,457","39,271","1,300","28,546","2,384","7,041"
"105年/ 彰化縣 / 65-69歲","58,734","1,539","44,958","2,716","9,521","29,245","835","25,183","1,615","1,612","29,489","704","19,775","1,101","7,909"
"105年/ 彰化縣 / 70-74歲","37,767","777","26,824","1,024","9,142","18,062","434","15,206","662","1,760","19,705","343","11,618","362","7,382"
"105年/ 彰化縣 / 75-79歲","37,533","574","23,590","597","12,772","17,333","334","13,719","389","2,891","20,200","240","9,871","208","9,881"
"105年/ 彰化縣 / 80-84歲","27,394","326","13,299","229","13,540","11,479","175","7,921","135","3,248","15,915","151","5,378","94","10,292"
"105年/ 彰化縣 / 85-89歲","15,077","216","5,011","128","9,722","5,897","132","3,304","79","2,382","9,180","84","1,707","49","7,340"
"105年/ 彰化縣 / 90-94歲","5,295","127","965","51","4,152","1,782","82","721","30","949","3,513","45","244","21","3,203"
"105年/ 彰化縣 / 95-99歲","1,060","33","105","10","912","296","18","86","4","188","764","15","19","6","724"
"105年/ 彰化縣 / 100歲以上","102","6","7","1","88","26","6","6","1","13","76","-","1","-","75"
"105年/ 南投縣 / 年齡別總計","446,869","149,248","224,483","35,642","37,496","228,735","83,771","118,340","18,961","7,663","218,134","65,477","106,143","16,681","29,833"
"105年/ 南投縣 / 15-19歲","31,703","31,542","151","10","-","16,509","16,474","35","-","-","15,194","15,068","116","10","-"
"105年/ 南投縣 / 20-24歲","36,848","34,922","1,684","238","4","19,033","18,354","590","89","-","17,815","16,568","1,094","149","4"
"105年/ 南投縣 / 25-29歲","35,211","27,940","6,395","863","13","18,786","15,775","2,672","339","-","16,425","12,165","3,723","524","13"
"105年/ 南投縣 / 30-34歲","35,724","18,610","14,766","2,229","119","19,013","11,202","6,922","880","9","16,711","7,408","7,844","1,349","110"
"105年/ 南投縣 / 35-39歲","37,696","12,552","20,612","4,247","285","19,604","7,812","9,760","2,004","28","18,092","4,740","10,852","2,243","257"
"105年/ 南投縣 / 40-44歲","34,426","7,558","21,459","4,879","530","17,634","4,563","10,518","2,502","51","16,792","2,995","10,941","2,377","479"
"105年/ 南投縣 / 45-49歲","38,037","5,577","25,796","5,695","969","19,893","3,227","13,311","3,220","135","18,144","2,350","12,485","2,475","834"
"105年/ 南投縣 / 50-54歲","41,903","4,197","29,956","5,947","1,803","21,896","2,491","15,819","3,318","268","20,007","1,706","14,137","2,629","1,535"
"105年/ 南投縣 / 55-59歲","40,247","2,706","29,829","4,941","2,771","20,904","1,614","16,083","2,742","465","19,343","1,092","13,746","2,199","2,306"
"105年/ 南投縣 / 60-64歲","34,939","1,668","25,905","3,562","3,804","18,020","992","14,330","2,055","643","16,919","676","11,575","1,507","3,161"
"105年/ 南投縣 / 65-69歲","25,222","938","18,245","1,726","4,313","12,625","573","10,364","1,011","677","12,597","365","7,881","715","3,636"
"105年/ 南投縣 / 70-74歲","16,688","496","11,135","651","4,406","7,968","373","6,420","395","780","8,720","123","4,715","256","3,626"
"105年/ 南投縣 / 75-79歲","16,742","267","10,079","343","6,053","7,684","161","5,952","213","1,358","9,058","106","4,127","130","4,695"
"105年/ 南投縣 / 80-84歲","11,697","135","5,556","169","5,837","5,095","76","3,444","99","1,476","6,602","59","2,112","70","4,361"
"105年/ 南投縣 / 85-89歲","6,906","91","2,339","99","4,377","2,958","52","1,645","67","1,194","3,948","39","694","32","3,183"
"105年/ 南投縣 / 90-94歲","2,343","39","511","33","1,760","928","23","418","24","463","1,415","16","93","9","1,297"
"105年/ 南投縣 / 95-99歲","480","8","60","9","403","164","7","53","3","101","316","1","7","6","302"
"105年/ 南投縣 / 100歲以上","57","2","5","1","49","21","2","4","-","15","36","-","1","1","34"
"105年/ 雲林縣 / 年齡別總計","610,263","192,288","319,173","43,273","55,529","316,758","108,601","172,129","24,593","11,435","293,505","83,687","147,044","18,680","44,094"
"105年/ 雲林縣 / 15-19歲","43,616","43,456","137","23","-","23,044","23,015","23","6","-","20,572","20,441","114","17","-"
"105年/ 雲林縣 / 20-24歲","45,934","43,897","1,821","212","4","23,927","23,260","599","67","1","22,007","20,637","1,222","145","3"
"105年/ 雲林縣 / 25-29歲","43,978","34,860","8,272","825","21","23,295","19,582","3,388","322","3","20,683","15,278","4,884","503","18"
"105年/ 雲林縣 / 30-34歲","49,796","25,114","21,717","2,825","140","25,921","15,181","9,575","1,152","13","23,875","9,933","12,142","1,673","127"
"105年/ 雲林縣 / 35-39歲","55,847","17,265","32,696","5,483","403","28,828","10,607","15,510","2,668","43","27,019","6,658","17,186","2,815","360"
"105年/ 雲林縣 / 40-44歲","51,097","9,809","34,083","6,483","722","26,912","5,849","17,440","3,546","77","24,185","3,960","16,643","2,937","645"
"105年/ 雲林縣 / 45-49歲","51,294","6,497","36,417","7,222","1,158","28,623","3,917","20,159","4,369","178","22,671","2,580","16,258","2,853","980"
"105年/ 雲林縣 / 50-54歲","55,111","4,783","40,389","7,691","2,248","31,037","3,045","22,987","4,651","354","24,074","1,738","17,402","3,040","1,894"
"105年/ 雲林縣 / 55-59歲","50,219","2,880","37,941","5,828","3,570","27,562","1,897","21,603","3,545","517","22,657","983","16,338","2,283","3,053"
"105年/ 雲林縣 / 60-64歲","44,607","1,639","33,993","3,662","5,313","23,589","1,047","19,323","2,293","926","21,018","592","14,670","1,369","4,387"
"105年/ 雲林縣 / 65-69歲","34,875","879","25,992","1,725","6,279","17,769","559","14,992","1,147","1,071","17,106","320","11,000","578","5,208"
"105年/ 雲林縣 / 70-74歲","25,582","476","17,779","625","6,702","12,051","294","10,018","428","1,311","13,531","182","7,761","197","5,391"
"105年/ 雲林縣 / 75-79歲","25,930","342","15,782","361","9,445","11,615","160","9,048","232","2,175","14,315","182","6,734","129","7,270"
"105年/ 雲林縣 / 80-84歲","18,189","193","8,460","181","9,355","7,519","96","5,008","98","2,317","10,670","97","3,452","83","7,038"
"105年/ 雲林縣 / 85-89歲","10,179","121","3,039","104","6,915","3,788","56","1,956","55","1,721","6,391","65","1,083","49","5,194"
"105年/ 雲林縣 / 90-94歲","3,314","60","596","20","2,638","1,103","29","460","12","602","2,211","31","136","8","2,036"
"105年/ 雲林縣 / 95-99歲","624","16","55","3","550","157","7","39","2","109","467","9","16","1","441"
"105年/ 雲林縣 / 100歲以上","71","1","4","-","66","18","-","1","-","17","53","1","3","-","49"
"105年/ 嘉義縣 / 年齡別總計","462,401","147,093","238,001","34,946","42,361","240,425","83,800","127,572","20,198","8,855","221,976","63,293","110,429","14,748","33,506"
"105年/ 嘉義縣 / 15-19歲","31,474","31,354","96","23","1","16,546","16,524","18","4","-","14,928","14,830","78","19","1"
"105年/ 嘉義縣 / 20-24歲","35,187","33,710","1,315","162","-","18,256","17,741","458","57","-","16,931","15,969","857","105","-"
"105年/ 嘉義縣 / 25-29歲","33,919","27,304","5,871","726","18","17,994","15,161","2,522","310","1","15,925","12,143","3,349","416","17"
"105年/ 嘉義縣 / 30-34歲","35,124","18,713","14,208","2,078","125","18,907","11,498","6,517","879","13","16,217","7,215","7,691","1,199","112"
"105年/ 嘉義縣 / 35-39歲","38,545","12,729","21,471","4,054","291","20,020","7,856","10,148","1,995","21","18,525","4,873","11,323","2,059","270"
"105年/ 嘉義縣 / 40-44歲","36,209","7,533","23,231","4,945","500","18,991","4,653","11,518","2,758","62","17,218","2,880","11,713","2,187","438"
"105年/ 嘉義縣 / 45-49歲","39,596","5,574","27,397","5,733","892","21,637","3,528","14,609","3,368","132","17,959","2,046","12,788","2,365","760"
"105年/ 嘉義縣 / 50-54歲","43,673","4,270","31,411","6,201","1,791","24,460","2,915","17,453","3,810","282","19,213","1,355","13,958","2,391","1,509"
"105年/ 嘉義縣 / 55-59歲","41,139","2,777","30,546","5,060","2,756","22,758","1,997","17,180","3,143","438","18,381","780","13,366","1,917","2,318"
"105年/ 嘉義縣 / 60-64歲","35,301","1,483","26,566","3,366","3,886","18,854","974","15,086","2,169","625","16,447","509","11,480","1,197","3,261"
"105年/ 嘉義縣 / 65-69歲","27,039","712","20,152","1,512","4,663","13,643","453","11,423","968","799","13,396","259","8,729","544","3,864"
"105年/ 嘉義縣 / 70-74歲","18,509","349","12,870","554","4,736","8,694","211","7,206","394","883","9,815","138","5,664","160","3,853"
"105年/ 嘉義縣 / 75-79歲","19,850","243","12,310","278","7,019","8,898","124","7,022","188","1,564","10,952","119","5,288","90","5,455"
"105年/ 嘉義縣 / 80-84歲","14,842","161","7,103","149","7,429","6,226","74","4,127","90","1,935","8,616","87","2,976","59","5,494"
"105年/ 嘉義縣 / 85-89歲","8,566","119","2,838","75","5,534","3,342","53","1,812","44","1,433","5,224","66","1,026","31","4,101"
"105年/ 嘉義縣 / 90-94歲","2,761","45","549","25","2,142","991","28","411","18","534","1,770","17","138","7","1,608"
"105年/ 嘉義縣 / 95-99歲","609","12","63","3","531","190","6","58","1","125","419","6","5","2","406"
"105年/ 嘉義縣 / 100歲以上","58","5","4","2","47","18","4","4","2","8","40","1","-","-","39"
"105年/ 屏東縣 / 年齡別總計","742,006","253,604","361,632","65,622","61,148","378,749","143,738","187,422","35,037","12,552","363,257","109,866","174,210","30,585","48,596"
"105年/ 屏東縣 / 15-19歲","50,951","50,753","175","23","-","26,663","26,624","34","5","-","24,288","24,129","141","18","-"
"105年/ 屏東縣 / 20-24歲","60,562","57,660","2,495","404","3","31,598","30,597","857","144","-","28,964","27,063","1,638","260","3"
"105年/ 屏東縣 / 25-29歲","57,201","46,218","9,587","1,368","28","29,956","25,472","3,951","528","5","27,245","20,746","5,636","840","23"
"105年/ 屏東縣 / 30-34歲","59,337","32,200","23,195","3,753","189","31,139","19,289","10,314","1,517","19","28,198","12,911","12,881","2,236","170"
"105年/ 屏東縣 / 35-39歲","66,082","23,512","34,663","7,411","496","34,410","14,552","16,306","3,485","67","31,672","8,960","18,357","3,926","429"
"105年/ 屏東縣 / 40-44歲","61,048","13,976","36,876","9,318","878","31,481","8,553","17,897","4,926","105","29,567","5,423","18,979","4,392","773"
"105年/ 屏東縣 / 45-49歲","65,219","10,423","42,385","10,709","1,702","34,112","6,397","21,550","5,943","222","31,107","4,026","20,835","4,766","1,480"
"105年/ 屏東縣 / 50-54歲","69,478","7,740","47,591","11,052","3,095","36,349","5,027","24,677","6,194","451","33,129","2,713","22,914","4,858","2,644"
"105年/ 屏東縣 / 55-59歲","66,472","4,921","47,148","9,359","5,044","33,872","3,326","24,604","5,145","797","32,600","1,595","22,544","4,214","4,247"
"105年/ 屏東縣 / 60-64歲","58,640","2,834","41,915","6,554","7,337","29,224","1,847","22,534","3,668","1,175","29,416","987","19,381","2,886","6,162"
"105年/ 屏東縣 / 65-69歲","43,286","1,504","30,495","3,255","8,032","21,366","936","17,160","1,953","1,317","21,920","568","13,335","1,302","6,715"
"105年/ 屏東縣 / 70-74歲","27,283","675","18,114","1,208","7,286","12,975","432","10,378","785","1,380","14,308","243","7,736","423","5,906"
"105年/ 屏東縣 / 75-79歲","25,808","508","15,207","707","9,386","12,045","295","9,180","430","2,140","13,763","213","6,027","277","7,246"
"105年/ 屏東縣 / 80-84歲","17,326","284","7,918","283","8,841","7,626","145","5,040","177","2,264","9,700","139","2,878","106","6,577"
"105年/ 屏東縣 / 85-89歲","9,627","219","3,149","149","6,110","4,338","126","2,335","92","1,785","5,289","93","814","57","4,325"
"105年/ 屏東縣 / 90-94歲","3,040","119","639","62","2,220","1,330","74","536","42","678","1,710","45","103","20","1,542"
"105年/ 屏東縣 / 95-99歲","566","42","62","7","455","224","32","55","3","134","342","10","7","4","321"
"105年/ 屏東縣 / 100歲以上","80","16","18","-","46","41","14","14","-","13","39","2","4","-","33"
"105年/ 臺東縣 / 年齡別總計","193,476","68,261","86,879","20,745","17,591","99,906","40,511","45,498","10,764","3,133","93,570","27,750","41,381","9,981","14,458"
"105年/ 臺東縣 / 15-19歲","13,785","13,721","58","6","-","7,162","7,149","13","-","-","6,623","6,572","45","6","-"
"105年/ 臺東縣 / 20-24歲","15,473","14,571","785","115","2","8,031","7,712","278","41","-","7,442","6,859","507","74","2"
"105年/ 臺東縣 / 25-29歲","14,291","11,247","2,587","449","8","7,733","6,430","1,134","169","-","6,558","4,817","1,453","280","8"
"105年/ 臺東縣 / 30-34歲","15,212","8,220","5,821","1,121","50","8,056","4,991","2,589","472","4","7,156","3,229","3,232","649","46"
"105年/ 臺東縣 / 35-39歲","16,522","6,065","8,251","2,049","157","8,736","3,924","3,852","945","15","7,786","2,141","4,399","1,104","142"
"105年/ 臺東縣 / 40-44歲","16,783","4,409","9,345","2,753","276","8,885","2,962","4,508","1,385","30","7,898","1,447","4,837","1,368","246"
"105年/ 臺東縣 / 45-49歲","17,935","3,502","10,523","3,395","515","9,720","2,446","5,431","1,767","76","8,215","1,056","5,092","1,628","439"
"105年/ 臺東縣 / 50-54歲","18,513","2,700","11,241","3,602","970","10,077","2,060","5,976","1,906","135","8,436","640","5,265","1,696","835"
"105年/ 臺東縣 / 55-59歲","17,019","1,749","10,863","2,973","1,434","8,934","1,314","5,787","1,592","241","8,085","435","5,076","1,381","1,193"
"105年/ 臺東縣 / 60-64歲","14,883","986","9,784","2,006","2,107","7,365","720","5,237","1,126","282","7,518","266","4,547","880","1,825"
"105年/ 臺東縣 / 65-69歲","10,971","452","6,898","1,133","2,488","5,184","319","3,831","689","345","5,787","133","3,067","444","2,143"
"105年/ 臺東縣 / 70-74歲","7,107","191","4,277","491","2,148","3,257","149","2,496","278","334","3,850","42","1,781","213","1,814"
"105年/ 臺東縣 / 75-79歲","6,404","137","3,326","309","2,632","2,793","77","2,074","182","460","3,611","60","1,252","127","2,172"
"105年/ 臺東縣 / 80-84歲","4,442","85","1,886","143","2,328","1,924","58","1,272","72","522","2,518","27","614","71","1,806"
"105年/ 臺東縣 / 85-89歲","2,776","111","922","125","1,618","1,340","98","738","81","423","1,436","13","184","44","1,195"
"105年/ 臺東縣 / 90-94歲","1,095","82","275","60","678","569","71","248","46","204","526","11","27","14","474"
"105年/ 臺東縣 / 95-99歲","227","28","34","9","156","119","26","31","9","53","108","2","3","-","103"
"105年/ 臺東縣 / 100歲以上","38","5","3","6","24","21","5","3","4","9","17","-","-","2","15"
"105年/ 花蓮縣 / 年齡別總計","289,659","102,497","131,253","32,003","23,906","146,792","58,871","67,598","16,198","4,125","142,867","43,626","63,655","15,805","19,781"
"105年/ 花蓮縣 / 15-19歲","20,408","20,298","99","11","-","10,667","10,642","21","4","-","9,741","9,656","78","7","-"
"105年/ 花蓮縣 / 20-24歲","23,859","22,292","1,344","223","-","12,335","11,768","496","71","-","11,524","10,524","848","152","-"
"105年/ 花蓮縣 / 25-29歲","21,864","17,117","4,017","716","14","11,408","9,469","1,653","283","3","10,456","7,648","2,364","433","11"
"105年/ 花蓮縣 / 30-34歲","23,211","12,479","9,037","1,627","68","12,146","7,516","3,962","662","6","11,065","4,963","5,075","965","62"
"105年/ 花蓮縣 / 35-39歲","25,515","9,523","12,986","2,831","175","13,309","5,931","6,090","1,270","18","12,206","3,592","6,896","1,561","157"
"105年/ 花蓮縣 / 40-44歲","24,707","6,282","13,954","4,096","375","12,521","3,939","6,629","1,906","47","12,186","2,343","7,325","2,190","328"
"105年/ 花蓮縣 / 45-49歲","25,870","4,688","15,503","5,001","678","13,455","3,008","7,812","2,536","99","12,415","1,680","7,691","2,465","579"
"105年/ 花蓮縣 / 50-54歲","26,444","3,628","16,280","5,315","1,221","13,762","2,381","8,429","2,768","184","12,682","1,247","7,851","2,547","1,037"
"105年/ 花蓮縣 / 55-59歲","26,013","2,506","16,585","4,907","2,015","13,027","1,683","8,478","2,528","338","12,986","823","8,107","2,379","1,677"
"105年/ 花蓮縣 / 60-64歲","23,119","1,622","15,054","3,627","2,816","11,542","1,083","8,078","1,997","384","11,577","539","6,976","1,630","2,432"
"105年/ 花蓮縣 / 65-69歲","16,593","888","10,518","1,887","3,300","7,979","582","5,882","1,089","426","8,614","306","4,636","798","2,874"
"105年/ 花蓮縣 / 70-74歲","10,727","416","6,359","846","3,106","4,859","281","3,621","510","447","5,868","135","2,738","336","2,659"
"105年/ 花蓮縣 / 75-79歲","9,072","256","4,835","429","3,552","4,018","187","2,969","251","611","5,054","69","1,866","178","2,941"
"105年/ 花蓮縣 / 80-84歲","6,281","176","2,712","245","3,148","2,707","117","1,807","153","630","3,574","59","905","92","2,518"
"105年/ 花蓮縣 / 85-89歲","3,955","160","1,417","170","2,208","1,990","142","1,163","116","569","1,965","18","254","54","1,639"
"105年/ 花蓮縣 / 90-94歲","1,612","115","469","58","970","849","95","430","45","279","763","20","39","13","691"
"105年/ 花蓮縣 / 95-99歲","344","37","73","12","222","176","35","68","7","66","168","2","5","5","156"
"105年/ 花蓮縣 / 100歲以上","65","14","11","2","38","42","12","10","2","18","23","2","1","-","20"
"105年/ 澎湖縣 / 年齡別總計","91,777","32,169","45,142","7,439","7,027","47,159","18,349","23,425","3,959","1,426","44,618","13,820","21,717","3,480","5,601"
"105年/ 澎湖縣 / 15-19歲","6,369","6,357","12","-","-","3,360","3,359","1","-","-","3,009","2,998","11","-","-"
"105年/ 澎湖縣 / 20-24歲","8,402","8,088","285","29","-","4,586","4,492","86","8","-","3,816","3,596","199","21","-"
"105年/ 澎湖縣 / 25-29歲","7,459","5,933","1,387","136","3","3,952","3,382","520","50","-","3,507","2,551","867","86","3"
"105年/ 澎湖縣 / 30-34歲","7,944","3,844","3,716","362","22","4,052","2,328","1,586","137","1","3,892","1,516","2,130","225","21"
"105年/ 澎湖縣 / 35-39歲","8,455","2,730","4,928","748","49","4,248","1,663","2,252","330","3","4,207","1,067","2,676","418","46"
"105年/ 澎湖縣 / 40-44歲","7,777","1,695","4,860","1,138","84","3,983","1,021","2,414","541","7","3,794","674","2,446","597","77"
"105年/ 澎湖縣 / 45-49歲","7,790","1,198","5,114","1,318","160","4,169","710","2,716","727","16","3,621","488","2,398","591","144"
"105年/ 澎湖縣 / 50-54歲","8,033","986","5,519","1,241","287","4,301","595","2,967","693","46","3,732","391","2,552","548","241"
"105年/ 澎湖縣 / 55-59歲","7,577","655","5,356","1,103","463","4,011","408","2,911","616","76","3,566","247","2,445","487","387"
"105年/ 澎湖縣 / 60-64歲","6,392","309","4,642","769","672","3,301","184","2,536","474","107","3,091","125","2,106","295","565"
"105年/ 澎湖縣 / 65-69歲","4,663","150","3,419","338","756","2,278","79","1,875","200","124","2,385","71","1,544","138","632"
"105年/ 澎湖縣 / 70-74歲","3,132","86","2,152","130","764","1,492","48","1,209","98","137","1,640","38","943","32","627"
"105年/ 澎湖縣 / 75-79歲","2,917","52","1,789","62","1,014","1,357","31","1,069","46","211","1,560","21","720","16","803"
"105年/ 澎湖縣 / 80-84歲","2,561","38","1,247","38","1,238","1,106","24","771","23","288","1,455","14","476","15","950"
"105年/ 澎湖縣 / 85-89歲","1,569","34","557","22","956","692","17","392","15","268","877","17","165","7","688"
"105年/ 澎湖縣 / 90-94歲","588","11","137","2","438","220","6","101","-","113","368","5","36","2","325"
"105年/ 澎湖縣 / 95-99歲","139","3","22","3","111","50","2","19","1","28","89","1","3","2","83"
"105年/ 澎湖縣 / 100歲以上","10","-","-","-","10","1","-","-","-","1","9","-","-","-","9"
"105年/ 基隆市 / 年齡別總計","331,592","119,451","154,718","34,509","22,914","165,425","65,921","78,923","16,701","3,880","166,167","53,530","75,795","17,808","19,034"
"105年/ 基隆市 / 15-19歲","22,639","22,574","52","13","-","11,750","11,738","11","1","-","10,889","10,836","41","12","-"
"105年/ 基隆市 / 20-24歲","26,783","25,852","757","173","1","14,017","13,686","270","60","1","12,766","12,166","487","113","-"
"105年/ 基隆市 / 25-29歲","26,052","22,119","3,357","572","4","13,775","12,248","1,321","205","1","12,277","9,871","2,036","367","3"
"105年/ 基隆市 / 30-34歲","25,078","14,620","8,898","1,508","52","12,976","8,553","3,877","539","7","12,102","6,067","5,021","969","45"
"105年/ 基隆市 / 35-39歲","28,301","10,533","14,642","2,995","131","14,191","6,269","6,678","1,232","12","14,110","4,264","7,964","1,763","119"
"105年/ 基隆市 / 40-44歲","28,205","7,116","16,481","4,327","281","14,173","4,171","8,009","1,960","33","14,032","2,945","8,472","2,367","248"
"105年/ 基隆市 / 45-49歲","30,657","5,505","18,999","5,627","526","15,386","3,128","9,313","2,845","100","15,271","2,377","9,686","2,782","426"
"105年/ 基隆市 / 50-54歲","32,585","4,375","21,223","5,991","996","16,335","2,479","10,700","2,987","169","16,250","1,896","10,523","3,004","827"
"105年/ 基隆市 / 55-59歲","31,592","3,079","21,351","5,510","1,652","15,686","1,766","10,904","2,758","258","15,906","1,313","10,447","2,752","1,394"
"105年/ 基隆市 / 60-64歲","27,751","1,861","19,223","3,995","2,672","13,432","966","10,056","1,996","414","14,319","895","9,167","1,999","2,258"
"105年/ 基隆市 / 65-69歲","19,206","905","12,963","2,112","3,226","9,200","414","7,175","1,153","458","10,006","491","5,788","959","2,768"
"105年/ 基隆市 / 70-74歲","10,377","258","6,570","738","2,811","4,713","124","3,747","424","418","5,664","134","2,823","314","2,393"
"105年/ 基隆市 / 75-79歲","10,071","244","5,381","511","3,935","4,282","129","3,300","275","578","5,789","115","2,081","236","3,357"
"105年/ 基隆市 / 80-84歲","6,306","126","2,803","238","3,139","2,654","59","1,876","136","583","3,652","67","927","102","2,556"
"105年/ 基隆市 / 85-89歲","3,943","157","1,436","132","2,218","1,849","105","1,166","83","495","2,094","52","270","49","1,723"
"105年/ 基隆市 / 90-94歲","1,616","93","468","56","999","797","62","417","38","280","819","31","51","18","719"
"105年/ 基隆市 / 95-99歲","351","25","94","9","223","166","18","86","7","55","185","7","8","2","168"
"105年/ 基隆市 / 100歲以上","79","9","20","2","48","43","6","17","2","18","36","3","3","-","30"
"105年/ 新竹市 / 年齡別總計","361,054","120,049","193,362","27,325","20,318","176,444","64,970","95,399","12,537","3,538","184,610","55,079","97,963","14,788","16,780"
"105年/ 新竹市 / 15-19歲","27,841","27,796","42","3","-","14,498","14,487","10","1","-","13,343","13,309","32","2","-"
"105年/ 新竹市 / 20-24歲","27,968","27,014","804","148","2","14,379","14,079","254","46","-","13,589","12,935","550","102","2"
"105年/ 新竹市 / 25-29歲","27,133","21,710","4,911","503","9","13,961","12,030","1,737","194","-","13,172","9,680","3,174","309","9"
"105年/ 新竹市 / 30-34歲","33,020","14,550","16,864","1,552","54","16,050","8,726","6,763","559","2","16,970","5,824","10,101","993","52"
"105年/ 新竹市 / 35-39歲","42,331","10,190","28,859","3,146","136","20,222","6,085","12,766","1,353","18","22,109","4,105","16,093","1,793","118"
"105年/ 新竹市 / 40-44歲","37,377","6,177","26,885","4,023","292","18,312","3,349","13,088","1,826","49","19,065","2,828","13,797","2,197","243"
"105年/ 新竹市 / 45-49歲","34,376","4,378","24,899","4,573","526","16,956","2,302","12,422","2,150","82","17,420","2,076","12,477","2,423","444"
"105年/ 新竹市 / 50-54歲","31,412","3,045","23,008","4,455","904","15,703","1,577","11,838","2,157","131","15,709","1,468","11,170","2,298","773"
"105年/ 新竹市 / 55-59歲","27,534","2,091","20,272","3,723","1,448","13,432","999","10,532","1,685","216","14,102","1,092","9,740","2,038","1,232"
"105年/ 新竹市 / 60-64歲","23,921","1,309","17,655","2,744","2,213","11,361","523","9,206","1,319","313","12,560","786","8,449","1,425","1,900"
"105年/ 新竹市 / 65-69歲","16,964","770","12,182","1,353","2,659","7,895","290","6,519","675","411","9,069","480","5,663","678","2,248"
"105年/ 新竹市 / 70-74歲","10,432","284","6,965","557","2,626","4,585","107","3,826","267","385","5,847","177","3,139","290","2,241"
"105年/ 新竹市 / 75-79歲","8,729","226","5,049","273","3,181","3,606","74","2,871","158","503","5,123","152","2,178","115","2,678"
"105年/ 新竹市 / 80-84歲","5,827","140","2,799","135","2,753","2,442","66","1,766","58","552","3,385","74","1,033","77","2,201"
"105年/ 新竹市 / 85-89歲","3,996","177","1,540","93","2,186","1,935","128","1,238","63","506","2,061","49","302","30","1,680"
"105年/ 新竹市 / 90-94歲","1,751","149","533","34","1,035","903","116","477","23","287","848","33","56","11","748"
"105年/ 新竹市 / 95-99歲","380","35","79","7","259","174","26","71","1","76","206","9","8","6","183"
"105年/ 新竹市 / 100歲以上","62","8","16","3","35","30","6","15","2","7","32","2","1","1","28"
"105年/ 嘉義市 / 年齡別總計","231,286","83,598","112,461","19,613","15,614","111,244","44,565","55,144","8,588","2,947","120,042","39,033","57,317","11,025","12,667"
"105年/ 嘉義市 / 15-19歲","19,007","18,982","23","2","-","9,903","9,899","4","-","-","9,104","9,083","19","2","-"
"105年/ 嘉義市 / 20-24歲","19,233","18,675","489","68","1","9,925","9,763","137","25","-","9,308","8,912","352","43","1"
"105年/ 嘉義市 / 25-29歲","17,702","14,702","2,624","372","4","9,138","8,014","983","141","-","8,564","6,688","1,641","231","4"
"105年/ 嘉義市 / 30-34歲","18,904","10,020","7,822","1,027","35","9,265","5,708","3,184","369","4","9,639","4,312","4,638","658","31"
"105年/ 嘉義市 / 35-39歲","21,492","6,962","12,271","2,153","106","10,176","3,971","5,345","847","13","11,316","2,991","6,926","1,306","93"
"105年/ 嘉義市 / 40-44歲","20,559","4,404","13,203","2,766","186","9,377","2,322","5,917","1,114","24","11,182","2,082","7,286","1,652","162"
"105年/ 嘉義市 / 45-49歲","20,921","3,252","14,099","3,199","371","9,863","1,654","6,735","1,420","54","11,058","1,598","7,364","1,779","317"
"105年/ 嘉義市 / 50-54歲","21,163","2,543","14,501","3,429","690","10,200","1,345","7,223","1,518","114","10,963","1,198","7,278","1,911","576"
