"15歲以上人口數","總計","未婚","有偶","離婚","喪偶","男","未婚","有偶","離婚","喪偶","女","未婚","有偶","離婚","喪偶"
"105年/ 臺北市 / 20-24歲","149,903","147,023","2,522","355","3","77,232","76,401","714","117","-","72,671","70,622","1,808","238","3"
"105年/ 臺北市 / 25-29歲","156,428","132,215","22,638","1,557","18","78,503","70,285","7,672","546","-","77,925","61,930","14,966","1,011","18"
"105年/ 臺北市 / 30-34歲","201,232","100,524","95,371","5,185","152","94,574","54,233","38,519","1,807","15","106,658","46,291","56,852","3,378","137"
"105年/ 臺北市 / 35-39歲","236,650","70,082","154,155","11,923","490","110,724","36,666","69,379","4,602","77","125,926","33,416","84,776","7,321","413"
"105年/ 臺北市 / 40-44歲","210,866","48,403","143,284","18,100","1,079","98,197","22,770","67,787","7,474","166","112,669","25,633","75,497","10,626","913"
"105年/ 臺北市 / 45-49歲","204,890","40,729","137,497","24,409","2,255","94,508","17,770","66,112","10,275","351","110,382","22,959","71,385","14,134","1,904"
"105年/ 臺北市 / 50-54歲","206,063","33,328","141,060","27,368","4,307","95,783","13,694","69,442","11,956","691","110,280","19,634","71,618","15,412","3,616"
"105年/ 臺北市 / 55-59歲","201,803","24,675","142,665","27,036","7,427","93,537","9,857","70,726","11,690","1,264","108,266","14,818","71,939","15,346","6,163"
"105年/ 臺北市 / 60-64歲","194,576","18,306","140,031","23,964","12,275","90,706","6,748","71,605","10,392","1,961","103,870","11,558","68,426","13,572","10,314"
"105年/ 臺北市 / 65-69歲","152,844","11,701","108,624","15,209","17,310","70,151","3,752","57,206","6,748","2,445","82,693","7,949","51,418","8,461","14,865"
"105年/ 臺北市 / 70-74歲","88,216","4,639","59,952","6,394","17,231","39,854","1,632","32,937","3,006","2,279","48,362","3,007","27,015","3,388","14,952"
"105年/ 臺北市 / 75-79歲","72,967","2,811","43,989","3,826","22,341","30,756","1,107","24,909","1,690","3,050","42,211","1,704","19,080","2,136","19,291"
"105年/ 臺北市 / 80-84歲","49,602","1,717","25,243","2,033","20,609","21,016","757","15,964","926","3,369","28,586","960","9,279","1,107","17,240"
"105年/ 臺北市 / 85-89歲","34,799","1,399","15,438","1,349","16,613","16,923","737","12,098","709","3,379","17,876","662","3,340","640","13,234"
"105年/ 臺北市 / 90-94歲","15,934","829","5,643","571","8,891","7,820","457","4,834","360","2,169","8,114","372","809","211","6,722"
"105年/ 臺北市 / 95-99歲","4,058","266","1,124","137","2,531","1,994","150","979","96","769","2,064","116","145","41","1,762"
